Приоритет	Артикул_ВБ	Название	Бренд	Предмет	Локализация_%	Нелок_заказов	Рекомен_всего_шт	НашСклад_шт	WB_Коротич_шт	Итого_наличие	Нехватка_шт	Покрытие_%	Себест_руб	Прибыль_на_шт	Прогн_прибыль	ИРП_экономия_мес	Маржа_итого_история	Склад_WB	Нелок_заказов_склад	Лок%_склад	ЕстьWB_шт	Везти_шт	1_волна	Доставка
2_ОТГРУЗИТЬ	170198738	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Т	ENOUGH	Тональные кремы	100	33	41	1500	37	1537	0	100	356	376	15404	402	-5063	Новосибирск	21	0	0	25	12	5д 11ч
																		Санкт-Петербург	12	8	0	16	8	2д 0ч
2_ОТГРУЗИТЬ	170198180	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] /	ENOUGH	Тональные кремы	80	45	55	235	149	384	0	100	286	267	14705	457	381939	Новосибирск	21	0	0	25	12	4д 2ч
																		Санкт-Петербург	13	7	0	17	8	1д 12ч
																		Екатеринбург	11	0	0	13	7	2д 9ч
2_ОТГРУЗИТЬ	207483179	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий анти	Jigott	Кремы	100	46	55	1440	82	1522	0	100	197	225	12370	525	27962	Новосибирск	46	2	0	55	26	4д 3ч
2_ОТГРУЗИТЬ	206126372	I'm Sorry For My Skin - Age Capture Vitalizer Cream / Увлажняющий капс	I'm Sorry for My Skin	Кремы	100	29	34	109	65	174	0	100	608	375	12736	451	123059	Новосибирск	17	0	0	20	10	5д 9ч
																		Санкт-Петербург	12	0	0	14	7	2д 10ч
2_ОТГРУЗИТЬ	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лиц	Petitfee	Маски гидрогелевые	76	16	33	809	16	825	0	100	538	395	13045	343	331078	Коледино/Электросталь	16	43	0	33	16	1д 16ч
2_ОТГРУЗИТЬ	151175880	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые	Petitfee	Патчи	100	21	25	1206	62	1268	0	100	411	296	7399	744	313546	Новосибирск	21	0	0	25	12	3д 3ч
2_ОТГРУЗИТЬ	151132051	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тонал	ENOUGH	Тональные кремы	81	22	40	618	33	651	0	100	252	321	12826	222	384969	Краснодар	12	50	0	28	14	1д 22ч
																		Казань	10	0	0	12	6	1д 22ч
2_ОТГРУЗИТЬ	170198876	ENOUGH - Premium Ultra X10 Cover Up Collagen Foundation [Tone 21] / То	ENOUGH	Тональные кремы	100	41	50	0	149	149	0	100	334	236	11785	296	-19936	Краснодар	24	4	0	30	14	2д 1ч
																		Новосибирск	17	0	0	20	10	3д 19ч
2_ОТГРУЗИТЬ	212889027	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для ли	ENOUGH	Корректоры	100	25	26	864	108	972	0	100	194	414	10770	312	-13318	Новосибирск	13	0	0	16	8	3д 15ч
																		Санкт-Петербург	12	20	8	10	5	1д 23ч
2_ОТГРУЗИТЬ	207483780	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстр	Jigott	Кремы	100	30	35	1900	112	2012	0	100	214	245	8574	365	-22869	Новосибирск	18	5	0	23	11	3д 15ч
																		Санкт-Петербург	12	0	2	12	6	2д 19ч
2_ОТГРУЗИТЬ	212757456	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой аз	Jigott	Тоники	99	31	29	2018	82	2100	0	100	281	270	7833	405	-85632	Новосибирск	16	0	1	18	9	4д 11ч
																		Санкт-Петербург	15	17	10	11	6	1д 13ч
2_ОТГРУЗИТЬ	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска	Petitfee	Маски гидрогелевые	100	13	19	553	55	608	0	100	485	424	8057	319	276415	Санкт-Петербург	13	19	0	19	9	1д 14ч
2_ОТГРУЗИТЬ	170198337	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Т	ENOUGH	Тональные кремы	100	18	21	767	135	902	0	100	323	364	7654	321	248888	Новосибирск	18	0	0	21	10	3д 21ч
2_ОТГРУЗИТЬ	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном ант	Jigott	Тоники	100	19	23	1833	134	1967	0	100	281	307	7055	307	930	Новосибирск	19	0	0	23	11	3д 6ч
2_ОТГРУЗИТЬ	154160085	ETUDE - Baking Powder Crunch Pore Scrub [24*7ml] / Очищающий скраб для	Etude house	Скрабы	100	10	13	282	62	344	0	100	413	412	5358	385	84086	Новосибирск	10	9	0	13	7	4д 21ч
2_ОТГРУЗИТЬ	238416010	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g] / Антивозрастной	ENOUGH	Кремы	100	29	34	1168	199	1367	0	100	195	179	6098	301	721104	Новосибирск	29	0	0	34	16	3д 15ч
2_ОТГРУЗИТЬ	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с бере	round lab	Кремы	100	14	17	627	227	854	0	100	1159	395	6711	195	211716	Новосибирск	14	0	0	17	8	4д 5ч
2_ОТГРУЗИТЬ	179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие г	Petitfee	Патчи	62	17	20	329	126	455	0	100	440	324	6478	178	111679	Коледино/Электросталь	17	0	0	20	10	1д 19ч
2_ОТГРУЗИТЬ	150925321	ENOUGH - Collagen Moisture Foundation [Tone 13] / Тональный крем для л	ENOUGH	Тональные кремы	97	17	20	2735	265	3000	0	100	229	309	6188	172	150355	Новосибирск	17	0	0	20	10	5д 5ч
2_ОТГРУЗИТЬ	170198109	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 21] /	ENOUGH	Тональные кремы	100	16	19	30	173	203	0	100	286	306	5810	173	178998	Новосибирск	16	0	0	19	9	3д 10ч
2_ОТГРУЗИТЬ	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаиваю	Petitfee	Маски гидрогелевые	44	11	13	129	19	148	0	100	508	341	4436	239	239620	Минск	11	0	0	13	7	1д 18ч
2_ОТГРУЗИТЬ	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажн	Jigott	Тоники	42	11	13	450	13	463	0	100	176	402	5226	112	180771	Новосибирск	11	0	0	13	7	5д 22ч
2_ОТГРУЗИТЬ	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml - Крем для лица с чёрной соей и	round lab	Кремы	98	10	12	210	174	384	0	100	1231	327	3926	118	-32312	Новосибирск	10	0	0	12	6	6д 7ч
2_ОТГРУЗИТЬ	154159632	ETUDE - Baking Powder BB Deep Cleansing Foam [30ml] / Пенка с содой дл	Etude house	Скрабы	100	12	14	0	197	197	0	100	98	224	3138	123	28465	Новосибирск	12	0	0	14	7	3д 4ч
2_ОТГРУЗИТЬ	151132052	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тонал	ENOUGH	Тональные кремы	100	11	9	176	482	658	0	100	237	250	2253	95	43709	Краснодар	11	21	8	9	5	1д 21ч
2_ОТГРУЗИТЬ	238413828	ENOUGH - Collagen Moisture BB Cream SPF47 PA+++ [50ml] / Увлажняющий B	ENOUGH	Кремы	100	25	26	725	688	1413	0	100	201	0	0	229	36484	Санкт-Петербург	13	13	6	12	6	1д 17ч
																		Новосибирск	12	0	0	14	7	4д 22ч
3_ДОКУПИТЬ	868516027	Celimax Dual Barrier Creamy Toner, тонер 150 мл	Celimax	Тоники	100	2900	5608	1700	806	2506	3102	45	0	379	2127933	32247	1798543	Краснодар	819	36	3	1494	698	1д 23ч
																		Новосибирск	600	3	0	716	335	4д 14ч
																		Казань	462	25	1	719	336	1д 19ч
																		Санкт-Петербург	421	2	0	499	233	2д 0ч
																		Екатеринбург	263	13	0	352	165	2д 9ч
																		Минск	175	1	0	205	96	1д 18ч
																		Коледино/Электросталь	75	95	137	1516	708	1д 3ч
																		Армения	50	11	0	66	31	5д 8ч
																		Казахстан	18	0	0	21	10	4д 12ч
																		Грузия	17	0	0	20	10	6д 21ч
3_ДОКУПИТЬ	168956391	Сыворотка для лица увлажняющая 3в1 с коллагеном	Farm Stay	Сыворотки	100	541	993	0	0	0	993	0	0	395	391782	10878	4074484	Новосибирск	250	2	0	297	139	4д 2ч
																		Казань	112	52	0	270	126	1д 11ч
																		Краснодар	74	77	122	245	115	1д 14ч
																		Санкт-Петербург	48	66	49	114	54	1д 11ч
																		Минск	45	0	0	53	25	1д 15ч
																		Казахстан	12	0	0	14	7	4д 8ч
3_ДОКУПИТЬ	207472742	Корейский шампунь против выпадения волос с черным чесноком	Farm Stay	Шампуни	100	185	519	0	0	0	519	0	0	344	178433	7520	547211	Новосибирск	129	2	0	154	72	3д 22ч
																		Санкт-Петербург	27	64	0	86	41	1д 8ч
																		Минск	19	0	0	23	11	1д 16ч
																		Коледино/Электросталь	10	97	161	256	120	1д 2ч
3_ДОКУПИТЬ	207469760	Корейский крем для лица антивозрастной премиум	farmstay	Кремы	99	219	609	0	0	0	609	0	0	336	204828	4124	1444473	Новосибирск	81	1	0	96	45	3д 15ч
																		Краснодар	47	58	0	132	62	1д 18ч
																		Санкт-Петербург	31	18	0	45	21	1д 17ч
																		Казань	30	59	0	86	41	1д 8ч
																		Коледино/Электросталь	17	92	0	234	110	1д 4ч
																		Минск	13	0	0	16	8	1д 17ч
3_ДОКУПИТЬ	169076150	Антивозрастной крем для лица от морщин	farmstay	Кремы	83	128	210	0	0	0	210	0	0	312	65619	3446	1449729	Новосибирск	68	0	0	79	37	4д 14ч
																		Санкт-Петербург	23	23	0	35	17	2д 1ч
																		Казань	20	58	0	56	27	1д 14ч
																		Екатеринбург	17	50	0	40	19	2д 7ч
3_ДОКУПИТЬ	207476309	Корейский шампунь для волос с аргановым маслом	Farm Stay	Шампуни	75	128	211	0	0	0	211	0	0	309	65228	3007	-81279	Новосибирск	61	0	0	71	34	4д 4ч
																		Санкт-Петербург	24	49	24	31	15	1д 13ч
																		Екатеринбург	20	9	0	26	13	2д 2ч
																		Минск	13	0	0	16	8	1д 9ч
																		Казань	10	82	0	67	32	1д 9ч
3_ДОКУПИТЬ	238358009	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	Кремы	100	186	341	0	0	0	341	0	0	131	44663	2062	3206801	Казань	50	4	0	61	29	2д 8ч
																		Новосибирск	46	0	0	54	26	5д 0ч
																		Краснодар	23	68	0	84	40	1д 15ч
																		Санкт-Петербург	21	0	0	25	12	2д 14ч
																		Коледино/Электросталь	20	73	0	86	41	1д 10ч
																		Минск	14	0	0	17	8	2д 0ч
																		Екатеринбург	12	0	0	14	7	3д 1ч
3_ДОКУПИТЬ	207475898	Корейский шампунь для волос с коллагеном	Farm Stay	Шампуни	93	92	166	0	0	0	166	0	0	275	45639	1567	142306	Новосибирск	36	0	0	42	20	3д 13ч
																		Коледино/Электросталь	30	74	59	74	35	1д 6ч
																		Екатеринбург	15	42	24	7	4	2д 2ч
																		Казань	11	70	0	43	21	1д 12ч
3_ДОКУПИТЬ	214305722	Шампунь для волос женский и бальзам c черным чесноком набор	DEOPROCE	Шампуни	100	40	65	0	0	0	65	0	0	750	48743	1077	231932	Коледино/Электросталь	15	69	23	33	16	1д 8ч
																		Новосибирск	15	0	0	18	9	3д 13ч
																		Санкт-Петербург	10	17	0	14	7	1д 16ч
3_ДОКУПИТЬ	207479264	Ампульный крем для лица с коллагеном	EKEL	Кремы	0	77	129	0	0	0	129	0	0	297	38275	463	9787	Краснодар	19	5	0	24	12	2д 0ч
																		Казань	18	0	0	21	10	1д 18ч
																		Новосибирск	15	0	0	18	9	4д 9ч
																		Коледино/Электросталь	14	69	0	53	25	1д 7ч
																		Санкт-Петербург	11	0	0	13	7	2д 7ч
3_ДОКУПИТЬ	207796563	Крем для лица Aqua Hyaluronic Acid Water Drop	Elizavecca	Кремы	83	103	114	0	0	0	114	0	0	242	27544	693	223909	Новосибирск	21	0	0	25	12	5д 1ч
																		Коледино/Электросталь	19	58	52	1	1	1д 8ч
																		Казань	18	40	0	35	17	1д 18ч
																		Екатеринбург	18	0	0	21	10	2д 15ч
																		Санкт-Петербург	16	0	0	19	9	1д 21ч
																		Минск	11	0	0	13	7	1д 20ч
3_ДОКУПИТЬ	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml - Крем для лица с ниац	round lab	Кремы	100	31	50	0	0	0	50	0	1086	434	21695	703	-83391	Новосибирск	19	0	0	23	11	4д 22ч
																		Коледино/Электросталь	12	48	0	27	13	1д 11ч
3_ДОКУПИТЬ	170198835	ENOUGH - Premium Ultra X10 Cover Up Collagen Foundation [Tone 13] / То	ENOUGH	Тональные кремы	0	57	70	0	0	0	70	0	334	247	17261	952	267723	Казань	30	6	0	38	18	2д 0ч
																		Новосибирск	16	0	0	19	9	6д 12ч
																		Санкт-Петербург	11	0	0	13	7	1д 23ч
3_ДОКУПИТЬ	207477077	Увлажняющий крем для лица с коллагеном	farmstay	Кремы	100	36	44	0	0	0	44	0	0	472	20772	654	278256	Новосибирск	22	0	0	26	13	4д 10ч
																		Екатеринбург	14	18	2	18	9	2д 14ч
3_ДОКУПИТЬ	205054338	MANYO - Bifida Biome Ampoule Toner [400ml] / Ампульный укрепляющий тон	manyo	Тоники	0	14	24	0	1	1	23	4	878	641	15374	1075	744757	Коледино/Электросталь	14	30	0	24	12	2д 1ч
3_ДОКУПИТЬ	214964091	Набор корейских тканевых масок для лица 10 шт	JMSolution	Маски тканевые косметические	100	68	66	0	0	0	66	0	0	171	11290	1107	32998	Новосибирск	45	0	0	53	25	4д 2ч
																		Санкт-Петербург	23	18	20	13	7	1д 23ч
3_ДОКУПИТЬ	190159348	Очищающая пенка для лица с настоящим золотом	Elizavecca	Скрабы	100	39	46	0	0	0	46	0	0	322	14805	565	198195	Новосибирск	16	0	0	19	9	5д 10ч
																		Санкт-Петербург	12	0	0	14	7	1д 18ч
																		Екатеринбург	11	0	0	13	7	2д 6ч
3_ДОКУПИТЬ	238359400	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	Кремы	0	445	949	0	0	0	949	0	0	0	0	1623	131895	Казань	138	2	0	164	77	2д 2ч
																		Новосибирск	104	0	0	121	57	5д 0ч
																		Санкт-Петербург	59	3	0	71	34	2д 9ч
																		Краснодар	51	71	0	205	96	1д 15ч
																		Екатеринбург	44	4	0	54	26	2д 12ч
																		Минск	35	0	0	41	20	1д 22ч
																		Коледино/Электросталь	14	94	0	293	137	1д 5ч
3_ДОКУПИТЬ	238359757	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	Кремы	0	183	381	0	0	0	381	0	0	0	0	1417	232151	Новосибирск	70	1	0	83	39	4д 15ч
																		Казань	34	11	0	45	21	2д 4ч
																		Коледино/Электросталь	19	80	0	111	52	1д 11ч
																		Санкт-Петербург	18	22	0	27	13	1д 17ч
																		Краснодар	15	78	0	81	38	1д 12ч
																		Екатеринбург	15	12	0	20	10	2д 13ч
																		Минск	12	0	0	14	7	2д 9ч
3_ДОКУПИТЬ	419630142	Сыворотка для лица увлажняющая c муцыном улитки	Farm Stay	Сыворотки	100	26	31	0	0	0	31	0	0	254	7875	708	162286	Новосибирск	26	0	0	31	15	3д 11ч
3_ДОКУПИТЬ	207796439	Корейское гидрофильное масло для умывания	Elizavecca	Гидрофильные масла	60	18	21	0	0	0	21	0	0	295	6191	786	241435	Новосибирск	18	0	0	21	10	4д 12ч
3_ДОКУПИТЬ	206057411	Корейский тоник для лица от черных точек	Elizavecca	Тоники	100	20	24	0	0	0	24	0	0	349	8381	298	782488	Новосибирск	20	0	0	24	12	4д 10ч
3_ДОКУПИТЬ	208202076	Увлажняющий крем для лица с коллагеном ампульный	EKEL	Кремы	100	33	39	0	0	0	39	0	0	227	8844	257	152009	Новосибирск	21	0	0	25	12	3д 12ч
																		Санкт-Петербург	12	0	0	14	7	3д 14ч
3_ДОКУПИТЬ	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] / Увлажняющи	ENOUGH	Кремы	3	271	444	0	159	159	285	36	191	0	0	935	345148	Краснодар	108	2	0	128	60	2д 8ч
																		Новосибирск	62	2	0	74	35	4д 17ч
																		Коледино/Электросталь	36	74	0	163	77	1д 8ч
																		Санкт-Петербург	29	3	0	35	17	1д 20ч
																		Минск	21	0	0	25	12	1д 17ч
																		Екатеринбург	15	6	0	19	9	1д 20ч
3_ДОКУПИТЬ	204258828	Пенка для умывания от прыщей	COSRX	Скрабы	100	15	18	0	0	0	18	0	0	385	6922	244	249086	Новосибирск	15	0	0	18	9	4д 3ч
3_ДОКУПИТЬ	207476777	Корейская пенка для умывания лица увлажняющая	Farm Stay	Скрабы	100	12	14	0	0	0	14	0	0	228	3189	145	47689	Новосибирск	12	0	0	14	7	5д 6ч
3_ДОКУПИТЬ	165002270	ENOUGH - Collagen Moisture BB Cream SPF47 PA+++ [50ml] / Увлажняющий B	ENOUGH	Кремы	0	26	31	0	0	0	31	0	201	0	0	120	59127	Новосибирск	14	0	0	17	8	4д 13ч
																		Коледино/Электросталь	12	0	0	14	7	2д 5ч
