;;;;;https://www.wildberries.ru/seller/32220?sort=popular&page=1&fbrand=19794;;;;;;;;;;;;;
;;;;;https://www.wildberries.ru/seller/koreanbutik;;;;;;;;;;;;;
"Product List
MYUNGIN COSMETICS CO., LTD.";;;;;;;;;;;;;;;;;;
NO.;Image;SKU No.;"SKU No.
(NEW)";Product Name (KOR);Product Name (ENG);TYPE;Volume;"MOQ QTY
(PCS/CT)";CT WEIGHT(kg);CT SIZE(cm); MSRP ;"SUPPLY PRICE
(-VAT)";UPDATED BARCODES;HS코드;REMARKS;;;
63;;SCR008;5C0277;팜스테이 씨홀스 워터 풀 크림;FARMSTAY VISIBLE DIFFERENCE SEA HORSE WATER FULL CREAM;CREAM;50g;50;14;42.5*42*22.5; ₩30 000 ; ₩5 390 ;8809469772006 ;3304.99.1000;;;;
64;;STO007;5C0691;팜스테이 비저블 디퍼런스 모이스쳐 스네일 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(SNAIL);TONER;350ml;40;17;51*30*20; ₩10 000 ; ₩2 110 ;8809809900215 ;3304.99.1000;;;;
65;;STO008;5C0692;팜스테이 비저블 디퍼런스 모이스쳐 알로에 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(ALOE);TONER;350ml;40;17;51*30*20; ₩10 000 ; ₩2 110 ;8809809800161 ;3304.99.1000;;;;
66;;SCR009;5C0278;팜스테이 스네일 비저블 디퍼런스 모이스쳐 크림;FARMSTAY VISIBLE DIFFERENCE MOISTURE CREAM (SNAIL);CREAM;100ml;100;19;42*42.5*33; ₩20 000 ; ₩3 490 ;8809809800079 ;3304.99.1000;;;;
67;;SCR010;5C0279;팜스테이 알로에 비저블 디퍼런스 프레쉬 크림;FARMSTAY VISIBLE DIFFERENCE MOISTURE CREAM (ALOE);CREAM;100ml;100;19;42*42.5*33; ₩20 000 ; ₩3 490 ;8809809800086 ;3304.99.1000;;;;
68;;SCR011;5C0280;팜스테이 밀크 비저블 디퍼런스 화이트 크림;FARMSTAY VISIBLE DIFFERENCE MOISTURE CREAM (MILK);CREAM;100ml;100;19;42*42.5*33; ₩20 000 ; ₩3 490 ;8809809800093 ;3304.99.1000;;;;
69;;SCR012;5C0281;팜스테이 석류 비저블 디퍼런스 모이스쳐 크림;FARMSTAY VISIBLE DIFFERENCE MOISTURE CREAM(POMEGRANATE);CREAM;100ml;100;19;42*42.5*33; ₩20 000 ; ₩3 490 ;8809809800109 ;3304.99.1000;;;;
70;;SAM004;5C0231;팜스테이 에스까르고 노블레스 인텐시브 앰플;FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE;AMPOULE;250ml;40;14;37.5*31*27.5; ₩25 000 ; ₩4 660 ;8809469772778 ;3304.99.1000;;;;
71;;SEC004;5C0349;팜스테이 스네일 리페어 아이크림;FARMSTAY SNAIL REPAIR EYE CREAM;EYE CREAM;40g;100;6,3;58*30*22; ₩10 000 ; ₩1 730 ;8809469772457 ;3304.99.1000;72 ;;;
72;;SSG004-R;5C0628;팜스테이 알로에베라 모이스쳐 수딩젤;FARMSTAY ALOEVERA MOISTURE SOOTHING GEL;SOOTHING GEL;200ml;50;12,5;54*35*22.5; ₩5 900 ; ₩1 320 ;8809809801977 ;3304.99.1000;;;;
73;;CLF011;5C0039;팜스테이 차콜 퓨어 클렌징폼;FARMSTAY CHAR-COAL PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33.5*41; ₩9 000 ; ₩1 930 ;8809469773690 ;3401.30.0000;91 ;;;
74;;SMI005-R;5C0445;팜스테이 알로에베라 모이스쳐 수딩 미스트;FARMSTAY ALOEVERA MOISTURE SOOTHING MIST;MIST;120ml;100;17,5;42.5*42.5*20.5; ₩8 000 ; ₩1 630 ;8809426954643 ;3304.99.1000;85 шт ;;;
75;;SSC004-R;5C0592;팜스테이 알로에베라 퍼펙트 썬크림;FARMSTAY ALOEVERA PERFECT SUN CREAM;SUN CREAM;70g;100;9,5;58*28.5*16; ₩12 000 ; ₩2 110 ;8809809804817 ;3304.99.1000;;;;
76;;SMI006-R;5C0446;팜스테이 모이스쳐 수딩 미스트 콜라겐;FARMSTAY COLLAGEN MOISTURE SOOTHING MIST;MIST;120ml;100;17,5;42.5*42.5*20.5; ₩8 000 ; ₩1 630 ;8809809801090 ;3304.99.1000;433 шт ;;;
77;;SMI007-R;5C0448;팜스테이 모이스쳐 수딩 미스트 스네일;FARMSTAY SNAIL MOISTURE SOOTHING MIST;MIST;120ml;100;17,5;42.5*42.5*20.5; ₩8 000 ; ₩1 630 ;8809809801076 ;3304.99.1000;;;;
78;;SPA003-T;5C0569;팜스테이 블랙스네일 하이드로겔 아이패치;FARMSTAY BLACK SNAIL HYDROGEL EYE PATCH;PATCH;90g;100;19,5;45*45*20.5; ₩25 000 ; ₩5 920 ;8809460461138 ;3304.99.1000;;;;
79;;SCR013;5C0282;팜스테이 콜라겐 워터 풀 모이스트 크림;FARMSTAY COLLAGEN WATER FULL MOIST CREAM;CREAM;100g;100;20;44.5*43*30; ₩35 000 ; ₩5 790 ;8802221001338 ;3304.99.1000;;;;
80;;SMS014-M;500012;팜스테이 비저블 디퍼런스 마스크 시트 차콜;FARMSTAY VISIBLE DIFFERENCE MASK SHEET CHAR-COAL;MASK SHEET;1sheet;600;19,1;52*28*38; ₩1 000 ; ₩180 ;8800260032153;3307.90.4000;;;;
81;;SCR014;5C0283;팜스테이 블랙 스네일 올인원 크림;FARMSTAY BLACK SNAIL ALL-IN ONE CREAM;CREAM;100ml;100;22,5;42.5*42.5*32.5; ₩32 000 ; ₩4 460 ;8809469775106 ;3304.99.1000;;;;
82;;STO009;5C0693;팜스테이 콜라겐 워터 풀 모이스트 토너;FARMSTAY COLLAGEN WATER FULL MOIST TONER;TONER;200ml;50;14;55*30*18; ₩25 000 ; ₩4 940 ;8802221002168 ;3304.99.1000;;;;
83;;SEM009;5C0391;팜스테이 콜라겐 워터 풀 모이스트 에멀젼;FARMSTAY COLLAGEN WATER FULL MOIST EMULSION;EMULSION;200ml;50;14;55*30*18; ₩25 000 ; ₩4 940 ;8802221002175 ;3304.99.1000;;;;
