Бренд	Предмет	Артикул продавца	Объем, л
DEOPROCE	Шампуни	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	2.4
Isntree	Кремы	ISNTREE - Onion Newpair Gel Cream [50ml]	0.32
SKL TECH	Роботы-стеклоочистители	sBotW100_100680844	9.91
Etude house	Пенки	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	0.76
Lebelage	Кремы	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	0.3
Some by mi	Кремы	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	0.25
ENOUGH	Тональные кремы	Collagen_Enough_Moisture_Foundation_23	0.63
Petitfee	Маски косметические	PETITFEE MASK 7	1.15
Petitfee	Маски гидрогелевые	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	0.86
Petitfee	Патчи	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	0.22
Xiaomi	Наушники беспроводные	pro4black	0.42
Petitfee	Маски гидрогелевые	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	0.86
round lab	Гидрофильные масла	ROUND LAB SOYBEAN CLEANSING OIL_200ml	1.03
Новогодняя гирлянда светодиодная	Гирлянды интерьерные	hot /3х3/	1.28
Elizavecca	Пенки	Elizavecca 24k gold snail Cleansing Foam 180ml	0.35
dr.Jart+	CC-кремы	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	0.45
Petitfee	Патчи	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	0.5
ENOUGH	Корректоры	ENOUGH Collagen whitening cover tip concealer #03	0.47
COSRX	Сыворотки	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	0.4
Petitfee	Маски косметические	PETITFEE MASK 6	1.15
Новогодняя гирлянда светодиодная	Гирлянды интерьерные	white /3х2/	1.08
Petitfee	Маски гидрогелевые	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	0.86
Some by mi	Мыло косметическое	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	0.56
SKL TECH	Наушники беспроводные	m10	0.44
Новогодняя гирлянда светодиодная	Гирлянды интерьерные	multi  /3х3/	1.36
