Артикул	Название	СЦ Иркутск	СЦ Хабаровск	Невинномысск	Итого
198156698	Гидрофильное масло Ma:nyo Pure Cleansing Oil для умывания	3	9	4	16
207483780	Корейский крем для лица антивозрастной от морщин	10	5	0	15
212883090	Увлажняюший тонер для лица с гиалуроновой кислотой	10	4	0	14
226115141	Корейские гидрогелевые маски для лица против морщин	10	3	0	13
207796439	Корейское гидрофильное масло для умывания	4	5	4	13
212759698	Корейский успокаивающий тонер с алоэ	3	9	1	13
226115324	Корейские гидрогелевые маски для лица охлаждающие с агавой	9	3	0	12
207481251	Корейская эссенция для лица увлажняющая	6	3	3	12
206126372	Крем для лица с витамином C осветляющий	6	6	0	12
226115248	Корейские гидрогелевые маски для лица тонизирующие	9	3	0	12
212885914	Сыворотка роллер для глаз увлажняющая	7	5	0	12
238413828	BB-крем тональный увлажняющий для лица с коллагеном	9	3	0	12
551387355	Крем-Бустер для лица с микроиглами и ретинолом	5	6	0	11
868700077	Сыворотка с микроиглами 1Dx для интенсивного ухода	4	6	0	10
179611278	Патчи под глаза гидрогелевые с артишоком	5	5	0	10
608841921	Шампунь для волос женский c черным чесноком	6	4	0	10
212753217	Крем для лица с коллагеном	6	4	0	10
226117746	Корейские гидрогелевые маски для лица с ромашкой	8	1	0	9
204258828	Пенка для умывания от прыщей	1	5	3	9
151132052	Отбеливающий тональный крем для лица 3в1 тон 21	8	1	0	9
180988755	Тканевые патчи для глаз и век увлажняющие	4	4	0	8
207476777	Корейская пенка для умывания лица увлажняющая	8	0	0	8
154159632	Очищающая пенка для снятия макияжа Baking Powder 30ml	4	4	0	8
179611207	Гидрогелевые патчи для глаз Корея антивозрастные от отеков	4	3	1	8
214977901	Маски для лица тканевые	6	1	0	7
226114831	Корейские гидрогелевые маски для лица с артишоком	4	3	0	7
551600265	Успокаивающие тонер пэды для лица с кислотами	4	3	0	7
214312385	Антивозрастная сыворотка для лица с аргирелином 10%	2	3	0	5
179611318	Гидрогелевые патчи для глаз от отеков и морщин	1	4	0	5
226115478	Корейские гидрогелевые маски для лица с золотом и жемчугом	4	1	0	5
608624295	Шампунь для волос женский c черным	3	1	0	4
214304883	Корейский крем для лица антивозрастной	3	1	0	4
214311963	Сыворотка Корея увлажняющая против морщин	4	0	0	4
180992464	Охлаждающие гидрогелевые патчи для области вокруг глаз	4	0	0	4
226114935	Маски для лица с золотом	3	0	1	4
255574453	Увлажняющие тканевые маски для лица Корея 15 штук	1	3	0	4
207796350	Маска для волос увлажняющая с коллагеном	4	0	0	4
