Тип	Контейнер	Отправка	Приход	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	765	296567	46.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	765	296567	46.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	724	196066	30.4
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	724	196066	30.4
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	724	196066	30.4
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	724	196066	30.4
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	709	199470	21.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	709	199470	21.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	709	199470	21.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	709	199470	21.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	198147185	Manyo_Complex_Ampoule	679	610950	141.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	198147185	Manyo_Complex_Ampoule	679	610950	141.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	198147185	Manyo_Complex_Ampoule	679	610950	141.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	198147185	Manyo_Complex_Ampoule	679	610950	141.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	664	202367	85.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	664	202367	85.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	664	202367	85.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	664	202367	85.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	649	168908	-11.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	649	168908	-11.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	649	168908	-11.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	649	168908	-11.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	646	84535	21.3
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	646	84535	21.3
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	646	84535	21.3
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	646	84535	21.3
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	635	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	635	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	635	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	635	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	575	155048	56.6
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	575	155048	56.6
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	575	155048	56.6
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	575	155048	56.6
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	567	235565	51.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	567	235565	51.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	567	235565	51.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	567	235565	51.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	212757456	JIGOTT - Daily Real Cica Toner [300ml]	545	144621	12.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	212757456	JIGOTT - Daily Real Cica Toner [300ml]	545	144621	12.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	212757456	JIGOTT - Daily Real Cica Toner [300ml]	545	144621	12.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	212757456	JIGOTT - Daily Real Cica Toner [300ml]	545	144621	12.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	540	382255	-8.3
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	540	382255	-8.3
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	540	382255	-8.3
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	540	382255	-8.3
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	519	95433	-41.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	519	95433	-41.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	519	95433	-41.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	519	95433	-41.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	518	139678	76.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	518	139678	76.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	518	139678	76.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	518	139678	76.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	505	339223	7.3
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	505	339223	7.3
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	505	339223	7.3
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	505	339223	7.3
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	205054338	manyo_bifida_biome_toner	465	385238	88.2
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	205054338	manyo_bifida_biome_toner	465	385238	88.2
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	205054338	manyo_bifida_biome_toner	465	385238	88.2
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	205054338	manyo_bifida_biome_toner	465	385238	88.2
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	448	90616	66.3
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	448	90616	66.3
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	448	90616	66.3
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	448	90616	66.3
