Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	89.7	1485.0	0.0	0.0	1485.0	315.45	468443.0	35.5	111.99
1_СРОЧНО	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	95.0	1573.0	0.0	0.0	1573.0	283.36	445725.0	-62.23	-176.33
1_СРОЧНО	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	64.7	1071.0	23.0	0.4	1048.0	389.99	408710.0	26.95	105.11
1_СРОЧНО	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	95.3	1579.0	48.0	0.5	1531.0	265.36	406266.0	55.21	146.5
1_СРОЧНО	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	30.7	508.0	13.0	0.4	495.0	819.72	405761.0	6.12	50.15
1_СРОЧНО	180988755	Petitfee B-Glucan Deep Firming Eye Mask	47.0	778.0	10.0	0.2	768.0	486.69	373778.0	59.31	288.67
1_СРОЧНО	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	125.3	2076.0	49.0	0.4	2027.0	183.88	372725.0	-41.94	-77.12
1_СРОЧНО	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	15.3	254.0	0.0	0.0	254.0	1449.78	368244.0	-52.13	-755.72
1_СРОЧНО	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	108.3	1794.0	14.0	0.1	1780.0	202.27	360041.0	66.32	134.14
1_СРОЧНО	150925322	Collagen_Enough_Moisture_Foundation_21	88.3	1463.0	44.0	0.5	1419.0	242.88	344647.0	-69.72	-169.34
1_СРОЧНО	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	50.0	828.0	0.0	0.0	828.0	415.46	344001.0	14.02	58.24
1_СРОЧНО	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	156.0	2583.0	28.0	0.2	2555.0	130.86	334347.0	21.27	27.83
1_СРОЧНО	212889025	Enoughcollagenwhiteningcovertip01	103.3	1711.0	19.0	0.2	1692.0	183.24	310042.0	45.9	84.11
