Артикул_ВБ	Название	Штрафы_руб	Штраф_Габариты	Штраф_ПовышЛог	Другие_штрафы	Доплаты	Брак_шт	Брак_руб	Компенсация
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	20.00	0.00	0.00	20.00	0.00	0	0.00	1413.12
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	90.00	0.00	0.00	90.00	0.00	0	0.00	0.00
208202076	EKEL Ampule Сream Сollagen [70ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	806.25
208208674	Рация_UV-82 (1 шт)	0.00	0.00	0.00	0.00	0.00	0	0.00	3040.83
210573611	LEBELAGE - Dr. Collagen Derma Eye Cream [40ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00
210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	20.00	0.00	0.00	20.00	0.00	0	0.00	0.00
212752214	GRACE DAY - Bouquet Marine Mist	0.00	0.00	0.00	0.00	0.00	0	0.00	4371.47
212757456	JIGOTT - Daily Real Cica Toner [300ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	479.85
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	525.34
212796158	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 13) [50ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	943.44
212825852	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 21) [50ml]	8459.50	8409.50	0.00	50.00	0.00	0	0.00	4442.07
212827062	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 23) [50ml]	764.50	764.50	0.00	0.00	0.00	0	0.00	4836.54
212885313	JMSOLUTION - Glow Luminous Flower Toner Extra Large Rose [600ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	1441.48
212886252	FARMSTAY - Collagen Water Full Moist All Day Toner [500ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-137.23
212887146	THE SAEM - Healing Tea Garden White Tea Cleansing Foam [150ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00
212889024	THE SAEM - Cover Perfection Tip Concealer 1.75 Clear Beige [6.5g]	0.00	0.00	0.00	0.00	0.00	0	0.00	1400.19
212889026	THE SAEM - Cover Perfection Tip Concealer 1.5 Clear Beige [6.5g]	0.00	0.00	0.00	0.00	0.00	0	0.00	-415.40
212889027	Enoughcollagenwhiteningcovertip	0.00	0.00	0.00	0.00	0.00	0	0.00	26.93
214301797	DEOPROCE - HORSE ENRICH ALL CARE CREAM [100g]	0.00	0.00	0.00	0.00	0.00	0	0.00	795.41
214302044	DEOPROCE - HYDRO CALMING DOWN CUCUMBER TONER [380ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	447.78
214303837	DEOPROCE - HYDRO RECOVERY SNAIL TONER [150ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	723.11
214304289	DEOPROCE - REAL FRESH VEGAN CALMING TONER [200ml]	40.00	0.00	0.00	40.00	0.00	0	0.00	523.12
214304848	DEOPROCE - SNAIL GALAC REVITAL TONER [130ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2684.36
214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	0.00	0.00	0.00	0.00	0.00	0	0.00	1489.50
214305220	DEOPROCE - SYNAKE INTENSIVE WRINKLE CARE CREAM [100g]	0.00	0.00	0.00	0.00	0.00	0	0.00	871.95
214305584	DEOPROCE RINSE - BLACK GARLIC INTENSME ENERGY [1000ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	667.37
214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	20.00	0.00	0.00	20.00	0.00	0	0.00	5233.57
214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	439.40	0.00	0.00	439.40	0.00	0	0.00	1406.00
214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-613.10
214312385	THE ORDINARY - Argireline Solution 10% [30ml]	20.00	0.00	0.00	20.00	0.00	0	0.00	2429.58
214312837	THE SAEM Saemmul Perfect Curling Mascara [8ml]	2405.34	0.00	0.00	2405.34	0.00	0	0.00	1257.27
214312934	MISSHA -  M Perfect Cover BB Cream SPF42 PA+++ (Tone 25) [20ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	644.38
214312999	MISSHA - M Perfect Cover BB Cream SPF42 PA+++ (Tone 27) [20ml]	881.00	881.00	0.00	0.00	0.00	0	0.00	1316.02
214313051	MISSHA - Super Aqua Ultra Hyalron Peeling Gel [100ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	795.81
