Артикул ВБ	Название	Ноябрь 2024|Заказы	Ноябрь 2024|Выручка	Ноябрь 2024|Маржа	Декабрь 2024|Заказы	Декабрь 2024|Выручка	Декабрь 2024|Маржа	Январь 2025|Заказы	Январь 2025|Выручка	Январь 2025|Маржа	Февраль 2025|Заказы	Февраль 2025|Выручка	Февраль 2025|Маржа	Март 2025|Заказы	Март 2025|Выручка	Март 2025|Маржа	Апрель 2025|Заказы	Апрель 2025|Выручка	Апрель 2025|Маржа	Май 2025|Заказы	Май 2025|Выручка	Май 2025|Маржа	Июнь 2025|Заказы	Июнь 2025|Выручка	Июнь 2025|Маржа	Июль 2025|Заказы	Июль 2025|Выручка	Июль 2025|Маржа	Август 2025|Заказы	Август 2025|Выручка	Август 2025|Маржа	Сентябрь 2025|Заказы	Сентябрь 2025|Выручка	Сентябрь 2025|Маржа	Октябрь 2025|Заказы	Октябрь 2025|Выручка	Октябрь 2025|Маржа	Ноябрь 2025|Заказы	Ноябрь 2025|Выручка	Ноябрь 2025|Маржа	Декабрь 2025|Заказы	Декабрь 2025|Выручка	Декабрь 2025|Маржа	Январь 2026|Заказы	Январь 2026|Выручка	Январь 2026|Маржа	Февраль 2026|Заказы	Февраль 2026|Выручка	Февраль 2026|Маржа	Март 2026|Заказы	Март 2026|Выручка	Март 2026|Маржа	Апрель 2026|Заказы	Апрель 2026|Выручка	Апрель 2026|Маржа	Май 2026|Заказы	Май 2026|Выручка	Май 2026|Маржа	Июнь 2026|Заказы	Июнь 2026|Выручка	Июнь 2026|Маржа	Итого|Заказы	Итого|Выручка	Итого|Маржа
104590122	dm7dm11					1496481.89	978148.96		278708.79	105752.12		17454.34	6841.72		2022.48	1671.66		1275.86	579.76		403.13	41.77		3038.57	1915.99		979.42	609.24		2831.33	1705.46		20395.13	13280.14		10573.76	-12105.07		633357.51	178069.57		1965409.49	249403.73	7	57227.53	-33236.41	21	6968.59	-2211.85	14	4242.95	-78.92	10	376.97	-1627.36	1	388.64	-278.60	1	315.81	-14.59	54	4502452.19	1488467.32
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM					60584.21	22897.53		258045.00	106317.94		169984.24	82739.98		292353.13	138914.93		121839.10	57695.79		9188.26	4448.15		109616.05	49382.63		96030.25	39546.71		158525.41	37640.64		177599.83	47954.23		282914.01	108261.89		563313.10	182479.28		891974.89	266558.63		23167.29	8427.15		-20.13	-20.13	499	209997.63	68898.30	709	349411.13	100146.93	387	234525.59	78443.19	495	183982.87	48994.79	2090	4193031.86	1449728.56
100680844	sBotW100_100680844					4716.81	2178.63								23653.57	9358.84		13601.43	5060.36		299877.99	123802.24		808964.41	309985.43		398027.56	107789.85		50771.53	-186251.02		184118.84	42073.65		180259.43	38177.23		104885.14	13547.40		76203.50	15213.85	4	55486.52	11022.83	33	77258.13	6071.37	476	1154295.41	98693.12	86	352936.76	22312.40	1	3050.58	285.23				600	3788107.61	619321.41
198147185	Manyo_Complex_Ampoule								10432.87	3895.27																	229594.90	119876.96		438055.51	225389.52		530744.43	276534.50		481436.45	247421.51		586815.90	288273.75		158286.35	78041.78		-2.11	-2.11		-2.73	-2.73	190	334391.03	167766.69	199	411305.12	211121.41	177	384053.74	198660.73	116	205431.55	104151.99	682	3770543.01	1921129.27
176945700	sBotW400					74106.55	38216.15		139516.67	63221.00		102460.30	46718.75					24752.31	9746.14					166601.21	66939.17		128678.30	48895.46		127605.12	42614.67		62158.32	13017.65		228171.85	56079.48		2038.47	-22425.55		19535.47	4773.71	1	25565.42	6047.04	13	32758.05	3782.42	112	511325.17	74799.12	297	1375199.60	179835.93	8	106151.37	9387.12				431	3126624.18	641648.26
206057411	ELIZAVECCA_fruit_toner					82539.12	29642.23		244619.68	64894.67		284498.56	87130.74		443121.03	120273.35		462195.08	121442.75		216259.00	56678.80		213353.68	60928.23		147755.40	37324.79		131307.96	24027.06		70667.72	14882.51		138226.24	29732.76		145683.90	26501.82		84921.90	17010.18	23	89259.08	10098.83	129	55153.84	-75.63	149	88312.94	24356.76	103	62961.57	19492.56	112	61223.27	19363.76	99	58254.05	18781.85	615	3080314.02	782488.02
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]					39133.26	1701.78		118952.29	-7888.85		95119.63	-538.66		182721.71	-12148.71		235137.17	-16254.40		376184.68	-39132.88		201614.85	5332.76		263418.93	5040.94		189365.29	27962.46		24991.22	5813.03		69230.20	860.82		117266.39	-4269.25		82086.21	15515.15	27	155017.08	17220.51	329	174734.05	22708.89	363	211331.02	19920.20	261	157598.72	24367.83	336	197368.30	40811.85	282	163785.61	35282.44	1598	3055056.61	142305.91
176944957	sBotW300					42276.72	21313.99		27624.34	-12068.20		152460.87	65625.98		533150.02	223090.08		338130.51	138236.08		14375.44	6558.22		627328.34	277883.82		59352.06	24107.80		77917.14	22909.26		66230.96	15882.72		44496.46	2412.70		-1618.73	-20855.62		21850.67	6419.89	1	14326.35	2797.61	3	4430.24	-6842.21	97	374238.93	55101.73	136	317744.50	-70220.24	92	242003.92	-67781.43	23	59401.08	-21321.88	352	3015719.82	663250.30
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N					106770.35	41915.17		453909.08	129462.27		300475.86	98619.28		323045.93	98283.33		262485.88	78053.28		220297.12	69889.00		310102.92	83798.49		166240.80	36604.39		123018.77	17193.27		111595.16	15048.13		91592.44	12410.30		82618.21	-42.75		104033.49	10245.51	50	60184.58	2074.46	197	63479.44	3966.67	147	44137.08	5781.61	120	41717.00	8284.83	149	45935.67	6680.95	107	27107.88	2836.05	770	2938747.66	721104.24
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]					31754.52	992.97		127488.02	-10857.64		155530.70	-3954.32		318085.01	-31624.04		396128.48	-40806.44		278407.88	-39086.37		1265.86	-218.85					1213.43	-278.98					48148.05	4451.94		97000.78	-22078.87		102550.34	-10419.85	46	169710.21	7138.91	401	180721.03	6809.52	559	275995.38	-5555.48	419	240325.62	12558.50	440	235971.16	30705.31	348	192483.76	20944.74	2213	2852780.23	-81278.95
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N					6482.47	2198.40		19083.12	5065.81		47646.32	15347.75		349477.59	99917.53		198579.04	66292.19		17670.56	6061.23		123965.66	37984.90		113591.61	16860.37		84407.59	-56363.81		36970.95	-18512.04		21192.07	4208.18		28754.26	4599.13		36440.53	5476.56	84	61946.60	6931.50	361	133706.93	15469.42	1628	593387.81	190806.55	768	452467.78	172734.59	437	203643.68	79223.52	412	157249.06	53450.84	3690	2686663.63	707752.62
198148122	Manyo_Concentrate_Cream					36066.62	10198.65		3793.15	653.64														14259.20	10281.56		166810.79	48645.15		346077.01	92857.47		440566.26	129338.75		410061.87	105547.50		488413.33	110888.37		550748.03	92330.25		80175.70	18093.19		-11.31	-11.31		-3.81	-3.81		-2.55	-2.55								2536954.29	618816.86
165299885	8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт					181530.83	179507.32		425016.03	389735.96		580591.82	535860.16		900840.86	831812.82		317115.31	292826.79		126233.91	116956.83		1242.55	1149.54								-0.30	-0.30		-0.01	-0.01					-0.04	-0.04		532.62	485.82																	2533103.58	2348334.89
198156472	Manyo_Galac_Vita_Serum																							-97.50	-97.50		145896.37	59056.43		268878.27	95374.52		253755.75	95094.43		232908.24	87033.97		248567.02	87651.94		259531.62	85268.45	1	12455.92	4320.18		1257.31	449.77	283	227383.76	71094.94	286	309651.59	99254.26	253	333970.69	153933.75	172	213768.70	96281.19	995	2507927.74	934716.33
208208674	Рация_UV-82 (1 шт)					168738.37	-19525.90		701069.30	-121230.10		663434.88	-4585.81		227524.06	-2136.41		212626.61	7405.50		55172.31	1720.49		23937.49	235.23		17735.37	338.95		6213.37	-101.89		18021.55	6387.64		2138.55	503.21		719.74	-933.32		184476.48	120388.52		40403.96	9348.16	11	20191.98	4092.28	2	248.67	-1358.48	5	4683.82	-114.83		2435.02	-782.73	42	27168.17	-11125.71	60	2376939.70	-11475.20
437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml																							15474.84	4099.28		1219.57	268.80		10312.13	-149.15		63556.64	10618.80		10576.17	1038.59		3658.38	-56.09		23082.67	632.41	66	406350.33	-7384.21	976	750859.24	72290.48	626	858032.24	95603.38	10	19672.69	2648.30							1678	2162794.90	179610.59
205054338	manyo_bifida_biome_toner								4964.70	1031.16																	54235.69	29528.66		132126.32	69442.69		132163.37	70301.57		114448.03	60439.84		136873.62	58146.11		146863.29	71717.62	45	148387.36	65549.71	298	319956.59	79865.27	432	488269.62	112772.75	311	409982.54	102005.35	25	63644.45	22679.85	1	3285.78	1276.02	1112	2155201.36	744756.60
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]																																			3187.06	1775.18		71099.15	29209.74		202306.90	74353.91	2	18300.87	8612.92	7	5626.12	2190.47	633	400592.14	79298.07	487	395271.24	94479.48	620	440573.83	118319.03	748	600818.11	189592.56	2497	2137775.42	597831.36
198156698	Manyo_Pure_Cleansing_Oil								1516.84	488.40																	79553.90	40455.17		66764.11	29980.95		84532.64	38422.43		96931.35	42988.79		90221.10	23934.80		198062.08	78828.39	48	289891.68	105685.38	205	343071.29	129688.44	171	273943.05	115906.69	123	209713.71	94870.16	111	181403.52	84392.67	83	129234.84	56144.54	741	2044840.11	841786.81
207795785	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash					19469.97	5969.02		102621.83	23755.61		320430.62	79298.62		276083.27	52811.97		249621.79	45324.53		274762.20	44643.94		150632.75	17715.66		149525.28	10668.79		87722.66	-3709.14		68276.01	-2798.77		56136.22	314.24		61356.69	-4654.47		73896.62	-5704.16	50	72482.50	-13545.91	10	32595.84	-3621.52		-3.32	-3.32		-2.30	-2.30							60	1995608.63	246462.79
212827062	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 23) [50ml]					253962.14	251252.01		480443.40	442504.11		222000.01	205562.78		822099.90	761071.19		141213.86	130692.74		7759.68	7124.61		-124.10	-124.10		979.20	891.20		1025.95	940.27											-0.09	-0.09																				1929359.95	1799914.72
226322576	ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch					26191.75	25899.27		63370.47	58024.23		52469.22	48291.65		88645.27	81579.55		39020.84	35921.55		4600.06	4253.82		86941.31	79588.94		214357.00	193480.89		656298.36	577190.55		623311.44	563313.31		60157.31	54521.80		268.93	244.18		-3.25	-3.25		-1.22	-1.22		-0.64	-0.64		-0.39	-0.39	1	-0.44	-0.44		279.08	251.79				1	1915905.10	1722555.59
212825852	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 21) [50ml]					16814.54	5689.02		159713.36	70123.43		151748.77	76846.78		567040.84	252725.47		371978.50	162152.16		170772.82	76172.77		122573.04	51790.36		43807.59	17123.77		55214.34	18207.46		36179.55	12500.26		54960.22	20600.20		46277.50	13939.97		59492.18	17498.80		55704.27	13830.07	3	1495.86	306.94	1	868.53	274.29		-0.09	-0.09							4	1914641.82	809781.66
48906952	dm7dm5					773936.80	450702.75		80404.11	22624.48		8402.72	2546.45		1114.15	749.42								-153.74	-153.74		814.46	418.93		1294.55	872.55		1099.76	701.69		-4636.55	-10483.59		230462.15	103544.22		795783.96	169815.08	3	20062.93	-9202.91	6	3381.88	-834.93	4	960.52	-116.32		-2.40	-2.40	1	390.33	34.57				14	1913315.63	731216.25
48905926	dm7dm1					944702.34	527363.46		155608.43	46725.95		24139.40	7706.69		22111.63	6577.93		9007.68	1575.35		15131.99	4737.09					3288.01	2142.26					2327.76	1564.67		-16190.73	-16581.55		29947.59	12559.14		565186.27	-125579.13	7	60091.31	-69503.50	11	3100.22	-3329.39	5	970.75	-668.56		-3.23	-3.23							23	1819419.42	395287.18
48906308	dm7dm3					503969.22	321278.38		169933.71	59223.88		10184.03	3655.81		1217.29	537.04		587.74	249.04					-183.15	-183.15		802.02	427.28		943.56	562.09		6463.95	3494.06		-22652.75	-26752.39		175910.15	104280.10		882703.19	-79413.05	1	55938.21	-54461.95	6	112.75	-1800.59	6	608.08	-1031.01	1	-72.75	-399.72				1	227.08	-97.27	15	1786692.33	329568.55
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]																				4657.16	1865.94		199844.05	71901.68		228207.63	84897.23		75775.14	18779.78		1766.89	681.94		28602.34	10161.85		137495.28	24594.64		209485.87	49010.19	56	158180.36	47942.41	368	172309.89	46456.62	419	176580.53	41611.99	270	113506.64	29139.21	367	148872.13	38214.89	280	121398.81	36628.00	1760	1776682.72	501886.37
198620664	Lamp_RGB_33cm					243961.32	77621.75		164820.28	54861.08		473251.45	46259.46		719140.26	154520.42		52844.64	-6508.34		486.89	-5484.09		-469.67	-469.67		-371.25	-1035.22		-0.20	-0.20					-0.66	-0.66		-0.25	-0.25					-0.10	-0.10																	1653662.71	319764.18
204250060	COSRX_Low_pH_Gel_Cleanser					77349.43	76524.84		405712.83	372843.67		16585.95	15149.84		2189.98	2023.77		33724.32	31261.67		5303.77	4915.28					35233.95	32330.62		144874.02	131895.55		131324.96	119730.27		141890.54	128883.89		270156.07	246618.80		179008.09	160965.55		146150.86	131611.12	6	7649.10	6930.89		696.13	639.53		-3.02	-3.02							6	1597846.98	1462322.27
103431810	dm7dm10					745029.92	386669.54		128244.50	38158.24		15653.46	5022.07		21687.85	7152.69		9555.89	1462.82		7416.49	1370.67		970.15	597.95		1937.32	1176.55		1282.01	886.19		7056.10	4797.19		2282.52	1097.29		22478.19	6274.90		486974.04	-128530.76	5	131861.98	-89237.87	11	4165.24	-2592.54	14	-201.05	-3151.14	2	969.65	-346.06	1	261.14	-67.62				33	1587625.40	230740.11
180852837	Триммер черный v1					149446.86	11680.76		278602.88	1982.55		413726.03	16542.35		192288.84	-2568.37		177265.37	27548.36		35402.04	5802.22		23088.94	3453.35		15222.26	1755.43		12372.14	1361.08		33176.57	413.96		82036.94	-4305.67		24860.49	-5375.33		31420.20	-6735.29	2	2870.30	399.50	19	24583.06	-988.32	9	9986.10	-1028.25	6	2970.05	-683.89	7	8227.39	-1493.33	9	4840.03	-1177.71	52	1522386.49	46583.40
48908708	dm7dm6					701826.03	312847.40		98693.20	17435.24		12958.72	2901.94		7344.10	1381.64		6929.68	1375.80		9633.84	1346.08		858.09	433.44		948.37	515.87		-221.17	-221.17		992.98	547.77		3071.09	1675.20		30400.36	12700.73		543518.51	66057.70	3	24633.53	-15979.15	5	1520.13	-817.44	1	339.93	-52.20	1	339.35	-51.35	1	-0.99	-0.99		356.94	-29.95	11	1444142.69	402066.56
165299669	8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт					199698.42	197353.91		890630.78	810875.64		332390.17	304819.78		3159.71	2867.52		343.04	316.50											359.07	331.41					314.86	289.14																										1426896.05	1316853.90
333319980	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N3											-118.25	-118.25		257612.98	203536.60		339449.25	147882.29		430336.44	159773.43		185888.18	62297.79		107764.71	42744.94		56571.46	19104.66		27865.32	9108.94		14710.22	4696.24		3390.85	1085.06		-1.48	-1.48		-0.45	-0.45								-0.20	-0.20								1423469.03	650109.57
437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml																							33848.35	14076.79		1595.31	308.97		-11506.93	-24569.32		98552.46	29339.41		449897.52	254658.55		148643.38	-24680.73		278146.33	-24989.50	5	274496.74	37616.86	6	12644.97	39.71	1	3148.53	589.90	17	20792.59	3002.48	90	47043.88	-29919.96	61	60533.25	-23757.39	180	1417836.38	211715.77
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch																				4873.93	1840.55		42741.16	13880.64		53525.15	16803.71		48673.08	12873.53		41215.20	12282.38		27372.23	7516.61		74468.80	12921.77		356242.96	65069.23	3	258794.06	45685.68	3	8898.39	930.59	244	134459.53	31733.17	256	177619.14	45572.45	138	93244.08	23685.55	160	92147.94	22750.61	804	1414275.65	313546.47
207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil					7354.33	2156.20		33429.13	6656.92		119254.81	29171.99		306868.24	68299.40		27585.90	5797.79		9266.82	2000.58		88367.16	14762.98		89594.29	12099.75		11597.02	1053.20		-0.70	-0.70		18241.26	2015.33		51472.07	5931.90		13383.42	4169.46	6	24686.24	6478.80	99	72718.31	11987.72	203	188848.57	24927.72	180	153559.91	24614.99	140	120830.97	16437.95	46	50409.70	2873.29	674	1387467.45	241435.27
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]					78968.52	20985.01		347692.46	59021.57		232031.66	49561.30		67408.86	14115.73		28835.01	6265.94		39459.59	9814.70		2413.03	626.28		32255.36	5129.62		29518.94	-1387.92		42585.14	-5879.69		64504.16	2773.58		39298.01	1738.95		49708.66	12695.98	13	40318.52	7106.18	52	55874.98	12413.01	66	81670.04	22903.45	43	54828.64	16954.58	52	46703.69	13558.48	42	47357.33	10724.83	268	1381432.60	259121.58
198620596	Lamp_white_26cm					36024.37	-6917.24		16477.18	-44766.97		435546.27	169119.91		306412.75	60834.01		215781.46	22885.02		156893.19	6720.02		54252.00	-4479.43		28687.58	-11552.05		18384.45	-24385.38		2779.34	-6290.55		6024.37	3324.52		-4708.70	-4708.70		97567.32	-137035.89	14	-10605.06	-190407.40	54	11373.70	-23354.18	12	4858.11	-3971.07	7	-3115.54	-4388.05	8	2840.74	-336.00	3	-542.29	-1814.42	98	1374931.24	-201523.85
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE																				661.21	159.91		35783.38	9055.54		62540.43	13899.71		85098.40	14453.36		77739.02	12934.64		88128.02	8234.07		202422.51	18375.62		190843.80	11533.80	1	90788.65	5037.22	1	2221.29	224.98	250	103673.61	2253.80	236	124378.21	7617.08	202	121236.31	32137.63	185	115076.24	26368.14	875	1300591.08	162285.50
102259020	white /3х3/					1120875.37	129897.79		44956.55	-31476.95		6545.57	-1764.33		9436.82	-1490.76		1307.70	-676.74		332.88	-674.82		984.60	-704.04		27.04	-310.55		4182.44	-1228.93		9130.33	-3200.04		55411.91	-31651.23		4821.20	-5748.30		11382.91	-9866.60		112.15	-547.41				1	220.89	-105.64	1	213.66	-112.87							2	1269942.02	40338.58
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]					14868.51	5546.26		1632.17	417.56														72500.34	27112.34		61453.45	20654.38		67340.63	17192.47		14688.27	2924.76		46141.58	14089.67		133088.32	33066.08		196050.55	43097.42	19	132797.41	23904.40	31	39827.44	7819.44	135	77698.01	21807.57	209	171107.37	45951.41	216	177254.54	44680.95	35	40554.58	9917.29	645	1247003.17	318182.00
206135397	I'm Sorry For My Skin Age Capture Hydrating					24967.12	7454.63		86295.27	19137.90		99087.80	26273.86		113493.50	28706.01		68061.50	16827.84		69362.75	17556.52		75610.04	16383.12		50169.12	9007.83		41964.79	1.11		50093.31	4131.09		58376.79	7631.36		42369.54	282.11		54550.63	3496.63	26	55554.45	-4939.17	112	76193.95	-4813.54	162	122921.40	19917.18	141	113424.84	22720.45	2	16208.14	4367.38	1	-19.10	-19.10	444	1218685.84	194123.21
206122859	I'm Sorry for My Skin Age Крем Capture Firming Enriched					15273.90	5943.31		103126.13	31529.80		112583.37	38184.29		112796.54	36167.20		85797.52	27317.88		80140.09	24475.16		76470.64	20892.73		60905.05	14483.57		50899.94	3506.23		68279.87	12514.97		64464.58	12371.32		57638.66	6745.07		76335.82	5621.44	25	84198.31	-7756.49	155	105730.94	3884.21	62	61479.39	11525.92		887.88	245.88							242	1217008.63	247652.49
