Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	C	96			15	93.75	6.25
	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	C	100			13	81.25	18.75
	240311751	Робот мойщик окон sBot w250	Робот мойщик окон sBot w250	B	83			6	37.50	62.50
	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	C	100	17		15	100	
	207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	C	94	91		15	100	
	208208674	Рация_UV-82 (1 шт)	Рация_UV-82 (1 шт)	C	77	97		15	100	
	212753217	JIGOTT - Collagen Healing Cream [100ml]	JIGOTT - Collagen Healing Cream [100ml]	C	97	7		13	86.67	13.33
	151132052	ENOUGH COLLAGEN 3IN1 21	ENOUGH COLLAGEN 3IN1 21	C	97	255		14	100	
	180711104	Petitfee GOLD	Petitfee GOLD	C	97	52		14	100	
	204258828	COSRX_Salicylic_Acid_Cleanser	COSRX_Salicylic_Acid_Cleanser	C	97	19		14	100	
	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	C	90	126		13	100	
	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	B	95			5	41.67	58.33
	214977901	JMSOLUTION - Mask Pack Black	JMSOLUTION - Mask Pack Black	C	90	119		12	100	
	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	C	92	29		11	91.67	8.33
	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	Petitfee Cacao Energizing Hydrogel Eye Patch	C	91	41		11	100	
	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	ROUND LAB PINE CALMING CICA AMPOULE_30ml	C	83	26		11	100	
	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	C	100			9	90	10
	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	C	94	39		10	100	
	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	C	95	15		9	100	
	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	C	96			9	100	
	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	C	97	43		9	100	
	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	C	79	178		7	77.78	22.22
	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	THE ORDINARY - Argireline Solution 10% [30ml]	C	80	22		8	100	
	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	C	95	67		8	100	
	180987509	Petitfee Pink Vita Brightening Eye Mask	Petitfee Pink Vita Brightening Eye Mask	C	100	6		7	100	
	207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	C	60	14		7	100	
	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	C	100	4		7	100	
	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	DEOPROCE - SNAIL RECOVERY CREAM [100g]	C	100	21		7	100	
	255574453	JIGOTT - MASK 15	JIGOTT - MASK 15	C	100	58		7	100	
