Артикул_ВБ	Название	Остаток_шт	Выкуп_ФинОтчет_%	Выкуп_API_%	Выкуп_ЛК_%	Выкуп_АВТО_%	Возврат_ФинОтчет_%	Возврат_API_%	Возврат_АВТО_%	Продаж_ФинОтчет	Возвратов_ФинОтчет	Заказов_API	Продаж_API
437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	66	88.37	79.59	78	88.37				38		49	39
206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	63	94.44	100	100	94.44				51		46	53
551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	86	92.11	88.64	86.67	92.11				34		44	39
608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	61	94.23	100	100	94.23				49		43	46
208208674	Рация_UV-82 (1 шт)	147	75	64.29	61.36	75				24		42	27
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	91	86.84	83.33	81.40	86.84				33		42	35
199427475	Dr.Jart_Teatreatment_Toner	52	96.30	69.05	69.05	96.30				26		42	29
207479264	EKEL Ampoule Cream Collagen [50ml]		96.92	100	100	96.92				63		42	56
151132052	ENOUGH COLLAGEN 3IN1 21	469	94.59	92.68	92.68	94.59				35		41	38
207796350	ELIZAVECCA - CER-100  [100ml]	350	93.33	100	100	93.33				42		40	42
207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	191	97.67	100	100	97.67				42		40	43
608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	62	97.67	100	100	97.67				42		40	42
307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	38	88.89	57.50	60.53	88.89				16		40	23
212753217	JIGOTT - Collagen Healing Cream [100ml]	25	97.06	87.50	89.74	97.06				33		40	35
176944957	sBotW300	79	91.30	100	100	91.30	2.44	2.50	2.44	41	1	38	40
204258828	COSRX_Salicylic_Acid_Cleanser	22	93.18	100	100	93.18				39		38	41
180711104	Petitfee GOLD	97	94.44	94.59	92.11	94.44				34		37	35
214977901	JMSOLUTION - Mask Pack Black	229	86.21	93.94	91.18	86.21				25		33	31
551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	135	93.02	100	100	93.02				40		33	36
179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	39	95	100	100	95				38		31	38
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]		100	83.87	86.67	100				22		31	26
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	1	91.67	82.76	80	91.67				22		29	24
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]		100	64.29	60	100				16		28	18
179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	150	92.59	92.31	92.31	92.59				25		26	24
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	220	81.25	60	60	81.25				13		25	15
210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]		96.97	100	100	96.97				32		25	30
226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	5	100	66.67	64	100				14		24	16
214312385	THE ORDINARY - Argireline Solution 10% [30ml]	22	80	68.18	75	80	6.25	6.25	6.25	16	1	22	16
551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	103	83.33	80.95	77.27	83.33				15		21	17
255574453	JIGOTT - MASK 15	231	100	90	85.71	100				17		20	18
180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	30	91.67	100	100	91.67				22		20	24
212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	33	86.67	68.42	68.42	86.67				13		19	13
207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	22	66.67	52.63	50	66.67				12		19	10
174668134	Пистолет перкуссионный V1	56	44.44	36.84	38.89	44.44				4		17	4
214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	53	100	100	100	100				17		17	17
210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	49	100	100	100	100				21		17	18
180987509	Petitfee Pink Vita Brightening Eye Mask	14	100	100	100	100				21		16	18
214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	48	91.67	92.31	85.71	91.67				11		13	12
207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	41	100	92.31	92.31	100				12		13	12
248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	33	93.33	100	93.33	93.33				14		13	14
238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N		77.97	100	100	77.97	2.33		2.33	43	1	13	31
180711041	Petitfee EGF	65	92.86	100	100	92.86				13		11	13
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	40	66.67	90.91	83.33	66.67				12		11	10
180852804	Скалер белый v1	88	71.43	64	69.57	71.43				5		10	4
214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	61	90	90	81.82	90				9		10	9
248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	36	83.33	66.67	75	83.33				5		9	6
180852837	Триммер черный v1	17	100	77.78	87.50	100				5		9	7
551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	168	88.89	87.50	100	88.89				8		8	7
611744611	ENOUGH Collagen whitening cover tip concealer #02	7	72.73	100	100	72.73				8		8	8
551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	194	90	71.43	83.33	90				4		7	5
183030830	HairSet/350/8*2	6	100	100	100	100				9		7	10
198620596	Lamp_white_26cm	1	57.14	71.43	71.43	57.14	20	16.67	20	5	1	7	6
100680843	sBotW120_100680843		75	100	100	75				14		7	12
551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	112	83.33	83.33	100	83.33				5		6	5
340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	31	70	63.64	70	70				3		6	4
551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	14	84.62	78.57	78.57	84.62				4		6	4
206058262	ELIZAVECCA_galactomyces_Ample	133	70	75	66.67	70				3		4	3
190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	67	85.71	100	85.71	85.71				4		4	4
247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	36	72.73	46.15	66.67	72.73		14.29		3		4	2
315688951	Триммер Золото	12	87.67	83.33	100	87.67				2		4	3
214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]		95.04	99.03	98.54	95.04						4	3
236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	73	100	100	100	100				5		3	5
1123574113	Round Lab 1025 Dokdo Toner	21	100	100	100	100				3		3	3
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N		84.62	100	100	84.62				11		3	10
333321028	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash2		93.26	100	100	93.26				2		3	3
663654300	videokamera4gneww	67	78.79	88.46	88.46	78.79	3.85	4.17	3.85	2		2	2
551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	65	88.57	86.36	100	100				2		2	2
212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	38	90.34	83.33	83.33	83.33				2		2	3
207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	6	100	100	100	100				3		2	3
103431353	dm7dm9	1	78.92	100	100	78.92	0.98		0.98	2		2	2
437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml		100	100	100	100				6		2	6
205054338	manyo_bifida_biome_toner	1	78.64	100	100	78.64				2		1	2
48906308	dm7dm3		80.93	100	100	80.93	1.24	4.55	1.24	1		1	1
48906952	dm7dm5		80.90	100	100	80.90	0.79		0.79	1		1	1
48908708	dm7dm6		79.85	100	100	79.85	1.10		1.10	1		1	1
103441912	dm7dm12		72.08	100	100	72.08	1.51		1.51	1		1	1
103442522	dm7dm13		86.76	100	100	86.76	1.07	4.76	1.07	1		1	1
104590122	dm7dm11		81.53	100	96.30	81.53	0.88		0.88	2		1	2
154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%		93.39	100	100	93.39						1	
165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB		88.89	100	100	88.89				16		1	13
170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон		90.91	100	100	90.91				10		1	7
190314349	СГ-Красная		79.61	100	100	79.61	1.47		1.47	1		1	1
199367159	Dr.Jart_Dermaclear_Micro_Foam		77.78	100	100	77.78				1		1	1
206135397	I'm Sorry For My Skin Age Capture Hydrating		94.23	100	100	94.23				1		1	1
207464799	HEIMISH - All Clean Balm [120ml]		75	100	100	75				2		1	2
238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N		92.86	100	100	92.86				13		1	9
555204573	dm7dm3-45		72.84	100	100	72.84	0.80		0.80	1		1	1
1152680017	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	78	100	100	100	100							
1177994944	PETITFEE MASK 5	50	100	100	100	100							
1175175447	PETITFEE MASK 6	44	100	100	100	100							
1177994945	PETITFEE MASK 7	40	100	100	100	100							
1123494802	VT Reedle Shot	27	100	100	100	100							
611745490	ENOUGH Collagen whitening cover tip concealer #03	23	75	71.43	62.50	75							
1119249556	VT PDRN Essence 100	19	100	100	100	100							
18405795	TPE100TPE100		100	100	100	100							
18406590	LK88Blue		100	100	100	100							
18432729	10KN95Guard10KN95		100	100	100	100							
48905926	dm7dm1		80.13	100	100	80.13	0.93	9.09	0.93				
48906211	dm7dm2		100	100	100	100							
48906602	dm7dm4		100	100	100	100							
48909005	dm7dm7		100	100	100	100							
59729264	NAUSHNIK/DETY/ROSE/		75.61	100	100	75.61							
59742048	10KN95Guard20KN95		100	100	100	100							
59742049	10KN95Guard30KN95		100	100	100	100							
59742050	10KN95Guard6KN95		100	100	100	100							
59758721	NAUSHNIK/DETY/BLACK/		82.86	100	100	82.86							
59758722	NAUSHNIK/DETY/BLUE/		85.71	100	100	85.71	0.18		0.18				
