Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	123	27.55	549	231.73	32.50	97	15.20	3.24	0.22	2.44	110700		398.52	35977.50	5048.75	4417.65	92.05	213.31	41.19	23.70
198156472	Manyo_Galac_Vita_Serum	122	23.42	1497	646.83	32.50	90	0.15	3.63	0.19	2.44	299022		442.86	97182.15	13654.88	11948.02	108.36	700.89	44.93	28.60
207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	120	68.04	987	484.42	32.50	98	156.47	3.09	0.57	2.44	190800		370.80	62010	8855.33	7748.41	38.48	186.43	18.86	11.73
207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	119	29.99	559	281.34	32.50	96	47.69	3.21	0.25	2.44	107100		381.99	34807.50	4973.53	4351.84	21.93	61.69	12.11	6.85
170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	116	46.40	625	315.45	32.50	93		3.54	0.40	2.44	113100		410.64	36757.50	5420.56	4742.99	35.50	111.99	20.25	11.49
179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	115	46.58	903	415.46	32.50	97		3.42	0.41	2.44	148120		393.30	48139	7764.11	6793.60	50.79	210.99	27.07	16.38
198156698	Manyo_Pure_Cleansing_Oil	115	57.50	2103	853	32.50	92	254.69	3.60	0.50	2.44	386400		414	125580	18081.87	15821.64	92.47	788.77	36.37	23.48
608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	114	77.98	541	151.13	31	94		3.30	0.68	2.44	90630		376.20	28095.30	4611.14	4034.75	136.80	206.75	43.54	26.01
551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	112	36.40	1418	687.58	32.50	75		3.84	0.33	2.44	259952		430.08	84484.40	11874.09	10389.83	77.02	529.57	37.25	22.82
170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	104	41.60	606	269.65	32.50	91		3.12	0.40	2.44	98280		324.48	31941	4712.07	4123.07	56.64	152.74	27.99	16.16
551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	103	20.39	388	272.44	32.50	94		3.57	0.20	2.44	65508		367.71	21290.10	2987.96	2614.47	-18.87	-51.41	-15.91	-8.08
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	98	137.98	1758	739.91	32.50	94	356.34	4.71	1.41	2.44	294000		461.58	95550	12881.05	11270.92	78.56	581.29	30.33	19.38
180711104	Petitfee GOLD	97	39.28	1003	415.46	32.50	97		3.12	0.41	2.44	138807		302.64	45112.28	7274.09	6364.83	74.74	310.50	34.95	21.70
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	94	87.51	641	265.36	32.50	91	90.74	3.12	0.93	2.44	98700		293.28	32077.50	4504.97	3941.85	49.87	132.34	21.51	12.60
190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	93	32.55	725	283.36	32.50	97	390.52	2.79	0.35	2.44	97557		259.47	31706.03	5041.12	4410.98	-62.23	-176.33	-27.89	-16.81
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	91	38.22	2373	996.75	32.50	86	332.49	3.12	0.42	2.44	368550		283.92	119778.75	16145.27	14127.11	102.62	1022.86	38.59	25.26
212889027	Enoughcollagenwhiteningcovertip	90	42.12	754	183.24	32.50	81	163.69	3.18	0.47	2.44	95400		286.20	31005	5073.64	4439.44	75.95	139.17	22.30	13.13
437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	90	31.50	1228	956.62	32.50	89	356.97	3	0.35	2.44	180900		270	58792.50	8263.18	7230.28	-24.66	-235.89	-18.68	-11.74
