Артикул_ВБ	Название	Остаток_API_шт	Объем_л	Остаток_цена_постав_руб	Остаток_себестоимость_руб	В_пути_к_клиенту_шт	В_пути_от_клиента_шт
151175877	Petitfee Agave Cooling Hydrogel Eye Mask	3	1.22	3816	1246.38	3	
212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	38	12.16	108756	40761.46		
307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	20	14.40	22260	5857.80	1	
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	33	4.62	74250	25425.84	9	1
247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	15	4.41	40545	12682.35		
248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]						
212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]						
248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	19	4.79	56392	20086.80		
151132051	ENOUGH COLLAGEN 3IN1 13	15	3.60	14850	3571.95	4	
340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	13	2.87	5213	1852.24		
180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	6	2.43	11070	3547.74		
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая						
1123494802	VT Reedle Shot	13	5.20	42770	12662.52		
212753217	JIGOTT - Collagen Healing Cream [100ml]	7	4.54	5565	1227.94	1	
611745490	ENOUGH Collagen whitening cover tip concealer #03						
204258828	COSRX_Salicylic_Acid_Cleanser	18	11.34	22896	6188.76	1	
207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	2	0.13	1028	198.16	1	
214312385	THE ORDINARY - Argireline Solution 10% [30ml]	22	5.72	39864	15884.88	1	
1123574113	Round Lab 1025 Dokdo Toner	10	5.40	18000	4849.30		
1119249556	VT PDRN Essence 100	7	2.10	29890	9351.65		
180852837	Триммер черный v1	9	32.08	22194	9505.98	1	
179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	12	4.86	13404	4985.52	4	
180987509	Petitfee Pink Vita Brightening Eye Mask						
551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]						
315688951	Триммер Золото						
240311751	Робот мойщик окон sBot w250						
611744611	ENOUGH Collagen whitening cover tip concealer #02						
183030830	HairSet/350/8*2						
207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil						
207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	6	2.10	10110	3242.52		
226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]					1	
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]					1	
198143251	Manyo_Ampoule_Lotion					3	2
103431353	dm7dm9						
198620596	Lamp_white_26cm						
205054338	manyo_bifida_biome_toner						
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]						
18405795	TPE100TPE100						
18406590	LK88Blue						1
48905926	dm7dm1						
48906211	dm7dm2						
48906308	dm7dm3						
48906602	dm7dm4					1	
48906952	dm7dm5					1	
48908708	dm7dm6						
48909005	dm7dm7						
59729264	NAUSHNIK/DETY/ROSE/						2
59742050	10KN95Guard6KN95						1
59758721	NAUSHNIK/DETY/BLACK/					1	
59758722	NAUSHNIK/DETY/BLUE/					2	
59758723	NAUSHNIK/DETY/MENTOL/					1	1
59758724	NAUSHNIK/DETY/SIREN/					1	
78053293	ushi2					1	
78454688	i12					3	7
78454766	pro4white						1
78454814	pro4black						2
78836747	i100						1
78838371	PRO					1	5
79868118							3
80222900							
80222948							
93302814	hocopro2						
94237840							
100680843	sBotW120_100680843						
100680844	sBotW100_100680844						
102254770	hot /2х2/					2	
102255837	hot /3х2/						
102256288	hot /3х3/					1	1
102258119	white /1.5х1.5/						
102258255	white /2х2/					2	
102258636	white /3х2/					2	
102259020	white /3х3/					4	
102261589	multi /1.5х1.5/					1	
102263707	multi /2х2/					4	
102264249	multi  /3х2/					1	
102264744	multi  /3х3/					2	
103426811	dm7dm8						
103431810	dm7dm10						
103441912	dm7dm12						
103442522	dm7dm13						
103442628	dm7dm14					1	
103442939	dm7dm15					1	
104590122	dm7dm11						
105911397	i100_v2						
122223609	P36_122223609_122223609						
133070643	СГ3Б					1	
133070645	СГ2Б						
133070647	СГ3К						
133070648	СГ1С						
133070650	СГ1Б						
133070651	СГ1К					1	
144518874	Маски100шт						
147602778	GAMEstick64						
151298064	Elizavecca Witch Piggy Hell Pore Blemish Spot Patch						
152115510	sBotW200						
154158805	Enough Collagen Moisture Essential Cream						
154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%						
154519502	Планшет для рисования 12 случайный цвет						
154522116	Микрофон-колонка розовый						
154989140	Салфетки для робота мойщика окон 12шт						
164999335	Moisture Sun Cream Enough Collagen spf 50 +						
165007944	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml]						
165009038	FARMSTAY ALOEVERA PERFECT SUN CREAM 70g						
165299450	Masil 8 Seconds Salon Hair Mask Stick Pouch 8 ml 5шт						
165299669	8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт						
165299885	8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт						
168956857	10 PREMIUM REPAIR HAIR MASK						
169074006	9 Protein Perfume Silk Balm						
170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон						
170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон						
180852722	Коврик массажный фиолетовый v1						
182111724	Триммер Золотой					2	
182994855	Liquid10						
182996309	Liquid5						
183001649	Liquid20						
183127934	SuperMild10						
190158097	MASIL 5 PROBIOTICS SCALP SCALING SHAMPOO 300ml						
195286371	Rosa 20m hot						
198620664	Lamp_RGB_33cm						
198940045	Camera_WiFi_v1						
207464799	HEIMISH - All Clean Balm [120ml]						
212752214	GRACE DAY - Bouquet Marine Mist						
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]						
212796158	MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 13) [50ml]						
214301939	DEOPROCE - HYDRO ANTIAGING POMERGRANATE TONER [380ml]						
214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]						
214312259	SKIN1004 - Zombie Beauty Bloody Peel [30ml]						
214312999	MISSHA - M Perfect Cover BB Cream SPF42 PA+++ (Tone 27) [20ml]						
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]						
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]					1	
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]						
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N						
238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N						
238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N						
333319980	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N3						
555213580	dm7dm5-50						
1126598360	ENOUGH - Collagen Moisture Essential Cream [50ml]	227	164.80	177060		2	
1139040138	JIGOTT - Ultimate Real Collagen Toner [300ml] 2	190	176.89	199500			
1138642065	ENOUGH - Collagen Moisture Foundation [Tone 13]	180	112.50	178200			
1138843355	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13]	180	112.50	172800			
1139036132	JIGOTT - Ассорти набор масок [27ml х 15]	175	208.25	225750			
1139155618	LANEIGE LIP SLEEPING MASK-BERRY [3g] 2	175	8.40	115500			
1139095890	JIGOTT - Daily Real Cica Toner [300ml] 2	173	161.06	181650			
1126690112	MANYO - Bifida Biome Complex Ampoule [50ml]	172	33.02	639840			
1138834711	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13]	170	106.25	168300			
1138646523	ENOUGH - Collagen Moisture Foundation [Tone 21]	165	103.12	163350			
1139248177	ROUND LAB MUGWORT CALMING CLEANSER_150ml 2	165	161.70	282150			
1138835712	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21]	160	100	153600			
1138839050	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13]	160	100	196800			
1138841064	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21]	160	100	187200			
1126531855	ROUND LAB 1025 DOKDO CLEANSER_150ml 2	157	153.86	282600			
1139005708	JIGOTT - Snail Lifting Cream [70ml] 2	157	101.74	117750		3	
1139263886	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml] 2	150	45	343350			
1139245659	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml 2	148	83.92	370740			
1126626550	ETUDE - Baking Powder Crunch Pore Scrub [200ml]	146	81.76	188340		1	
