Артикул_ВБ	Название	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_%	Заказы_нелокально_%
307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	92	29		92	8
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	91	33		93	7
247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	100	20		100	
248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	86	31		100	
212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	100	4		100	
248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	92	19		100	
151132051	ENOUGH COLLAGEN 3IN1 13	90	15		81	19
340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	100	20		100	
180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	95	15		100	
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	93			58	42
1123494802	VT Reedle Shot	100	19		100	
212753217	JIGOTT - Collagen Healing Cream [100ml]	97	7		87	13
611745490	ENOUGH Collagen whitening cover tip concealer #03	100	13		100	
204258828	COSRX_Salicylic_Acid_Cleanser	97	19		100	
207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	60	14		100	
214312385	THE ORDINARY - Argireline Solution 10% [30ml]	80	22		100	
1123574113	Round Lab 1025 Dokdo Toner	100	18		100	
1119249556	VT PDRN Essence 100	100	13		100	
180852837	Триммер черный v1	100	10		100	
179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	98	12		77	23
180987509	Petitfee Pink Vita Brightening Eye Mask	100	6		100	
551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	80	1			100
315688951	Триммер Золото	100	2		100	
240311751	Робот мойщик окон sBot w250	83			37	63
611744611	ENOUGH Collagen whitening cover tip concealer #02	100			100	
183030830	HairSet/350/8*2	100			100	
207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	95			60	40
207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	100	6		100	
226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	100			81	19
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	97			44	56
198143251	Manyo_Ampoule_Lotion	90			84	16
103431353	dm7dm9	100				
198620596	Lamp_white_26cm	71	1		50	50
205054338	manyo_bifida_biome_toner	100				
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	96			94	6
48906308	dm7dm3	100			100	
48906952	dm7dm5	100				
48908708	dm7dm6	100				
100680843	sBotW120_100680843	100			67	33
103441912	dm7dm12	100				
103442522	dm7dm13	100				
104590122	dm7dm11	100				
154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%				100	
165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	100				
170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	91			100	
170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	100				
190314349	СГ-Красная	100				
199367159	Dr.Jart_Dermaclear_Micro_Foam	100				
206135397	I'm Sorry For My Skin Age Capture Hydrating	100				
207464799	HEIMISH - All Clean Balm [120ml]	100				
207479264	EKEL Ampoule Cream Collagen [50ml]	98				
210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	96			100	
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	95			42	58
214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	100			100	
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	100			76	24
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	100			90	10
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	96			79	21
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	67			100	
238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	82				
238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	100				
333321028	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash2	100				
437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	100			100	
555204573	dm7dm3-45	100			100	
1126598360	ENOUGH - Collagen Moisture Essential Cream [50ml]	100	227		100	
1139040138	JIGOTT - Ultimate Real Collagen Toner [300ml] 2	100	190		100	
1138642065	ENOUGH - Collagen Moisture Foundation [Tone 13]	100	180		100	
1138843355	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13]	100	180		100	
1139036132	JIGOTT - Ассорти набор масок [27ml х 15]	100	175		100	
1139155618	LANEIGE LIP SLEEPING MASK-BERRY [3g] 2	100	175		100	
1139095890	JIGOTT - Daily Real Cica Toner [300ml] 2	100	173		100	
1126690112	MANYO - Bifida Biome Complex Ampoule [50ml]	100	172		100	
1138834711	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13]	100	170		100	
1138646523	ENOUGH - Collagen Moisture Foundation [Tone 21]	100	165		100	
1139248177	ROUND LAB MUGWORT CALMING CLEANSER_150ml 2	100	165		100	
1138835712	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21]	100	160		100	
1138839050	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13]	100	160		100	
1138841064	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21]	100	160		100	
1126531855	ROUND LAB 1025 DOKDO CLEANSER_150ml 2	100	157		100	
1139005708	JIGOTT - Snail Lifting Cream [70ml] 2	100	157		100	
