Артикул WB,Артикул продавца,Название,Предмет,Бренд,Продаж_строк,Розничная_сумма_период,Логистика_период,Переплата_ИРП_период,Косметика,Переплата_ИРП_месяц,Доля_переплаты_в_логистике_%
199367159,Dr.Jart_Dermaclear_Micro_Foam,Пенка для умывания Dermaclear Micro Foam,Скрабы,dr.Jart+,27,46994.0,2658.1,281.964,True,156.64666666666668,10.607727324028442
212753217,JIGOTT - Collagen Healing Cream [100ml],Крем для лица с коллагеном,Кремы,Jigott,59,46882.71,3960.38,281.29626,True,156.27570000000003,7.1027593311752915
179611304,Petitfee Cacao Energizing Hydrogel Eye Patch,Тонизирующие патчи для глаз гидрогелевые с какао,Патчи,Petitfee,31,44360.9,2217.28,266.16540000000003,True,147.8696666666667,12.004140207822198
248929125,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g],Крем для лица от прыщей для проблемной кожи,Кремы,Some by mi,12,35616.0,845.81,213.696,True,118.72,25.26524869651577
255574453,JIGOTT - MASK 15,Увлажняющие тканевые маски для лица Корея 15 штук,Маски тканевые косметические,Jigott,28,35580.07,3041.16,213.48042,True,118.60023333333335,7.0197036657065075
437231408,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml,Солнцезащитный крем spf 50 для лица с спф,Кремы,round lab,17,31193.12,1700.68,187.15872,True,103.97706666666666,11.004934496789518
183030830,HairSet/350/8*2,Masil набор для волос,Маски косметические,MASIL,21,30660.0,2781.96,183.96,True,102.2,6.612604063322262
247275092,THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml],Кислотный тоник для лица от прыщей Glycolic Acid 7%,Тоники,The ordinary,11,29744.79,769.42,178.46874,True,99.1493,23.19523017337735
551392965,CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml],Крем для восстановления барьера лица,Кремы,Celimax,12,29593.16,754.3,177.55895999999998,True,98.64386666666667,23.539567811215694
210575566,LEBELAGE - Dr. Peptide Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,39,27924.78,2587.11,167.54868000000002,True,93.08260000000001,6.476287440425804
