nm,Артикул продавца,Название,Предмет,Бренд,orders,local,nonlocal_orders,fbw_local,fbw_nonlocal,mp_local,mp_nonlocal,fbw_orders,local_pct_all,local_pct_fbw,krp_all,krp_fbw,weighted_krp_orders
611747838,Collagen_Enough_Moisture_Foundation_23,Увлажняющий тональный крем для лица тон 23,Тональные кремы,ENOUGH,21,12,9,12,9,0,0,21,57.14285714285714,57.14285714285714,0.02,0.02,0.42
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,110,73,37,73,37,0,0,110,66.36363636363637,66.36363636363637,0.0,0.0,0.0
151175880,Petitfee Black Pearl & Gold hydrogel Eye Patch,Патчи для глаз Корея антивозрастные жемчуг и золото,Патчи,Petitfee,135,95,40,95,40,0,0,135,70.37037037037037,70.37037037037037,0.0,0.0,0.0
151175877,Petitfee Agave Cooling Hydrogel Eye Mask,Гидрогелевые патчи от отеков и мешков под глазами,Патчи,Petitfee,117,71,46,71,46,0,0,117,60.68376068376068,60.68376068376068,0.0,0.0,0.0
238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,422,297,125,297,125,0,0,422,70.37914691943128,70.37914691943128,0.0,0.0,0.0
151313163,Etude Baking Powder Crunch Pore Scrub,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,707,509,198,509,198,0,0,707,71.99434229137199,71.99434229137199,0.0,0.0,0.0
154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,48,30,18,30,18,0,0,48,62.5,62.5,0.0,0.0,0.0
226115141,PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица против морщин,Маски гидрогелевые,Petitfee,79,52,27,52,27,0,0,79,65.82278481012658,65.82278481012658,0.0,0.0,0.0
170198337,Enough 8 Peptide Full Cover Perfect Foundation 21 тон,Корейский тональный крем с пептидами 21 тон,Тональные кремы,ENOUGH,115,88,27,88,27,0,0,115,76.52173913043478,76.52173913043478,0.0,0.0,0.0
238416010,Enough Collagen Whitening Moisture Cream 3in1 50 N,Корейский крем для лица отбеливающий 3в1 коллаген,Кремы,ENOUGH,145,96,49,96,49,0,0,145,66.20689655172414,66.20689655172414,0.0,0.0,0.0
419630142,FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,Сыворотка для лица увлажняющая c муцыном улитки,Сыворотки,Farm Stay,176,126,50,126,50,0,0,176,71.5909090909091,71.5909090909091,0.0,0.0,0.0
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,1501,995,506,995,506,0,0,1501,66.28914057295137,66.28914057295137,0.0,0.0,0.0
437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,64,43,21,43,21,0,0,64,67.1875,67.1875,0.0,0.0,0.0
214977901,JMSOLUTION - Mask Pack Black,Маски для лица тканевые,Маски тканевые косметические,JMSolution,32,23,9,23,9,0,0,32,71.875,71.875,0.0,0.0,0.0
437254254,ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,Крем для лица с чёрной соей и пантенолом успокаивающий Корея,Кремы,round lab,67,42,25,42,25,0,0,67,62.68656716417911,62.68656716417911,0.0,0.0,0.0
437776835,ROUND LAB PINE CALMING CICA AMPOULE_30ml,Сыворотка для жирной кожи лица увлажняющая с центеллой,Сыворотки,round lab,21,14,7,14,7,0,0,21,66.66666666666666,66.66666666666666,0.0,0.0,0.0
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,550,380,170,380,170,0,0,550,69.0909090909091,69.0909090909091,0.0,0.0,0.0
551472457,CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml],Сыворотка для лица с экстрактом нони,Сыворотки,Celimax,23,16,7,16,7,0,0,23,69.56521739130434,69.56521739130434,0.0,0.0,0.0
608624295,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком,Шампунь для волос женский c черным,Шампуни,DEOPROCE,29,21,8,21,8,0,0,29,72.41379310344827,72.41379310344827,0.0,0.0,0.0
608837066,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка,Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,39,30,9,30,9,0,0,39,76.92307692307693,76.92307692307693,0.0,0.0,0.0
608841921,DEOPROCE SHAMPOO - BLACK GARLIC[200ml],Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,45,30,15,30,15,0,0,45,66.66666666666666,66.66666666666666,0.0,0.0,0.0
150925322,Collagen_Enough_Moisture_Foundation_21,Увлажняющий тональный крем для лица тон 21,Тональные кремы,ENOUGH,65,46,19,46,19,0,0,65,70.76923076923077,70.76923076923077,0.0,0.0,0.0
868700077,MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml],Сыворотка с микроиглами 1Dx для интенсивного ухода,Сыворотки,manyo,58,39,19,39,19,0,0,58,67.24137931034483,67.24137931034483,0.0,0.0,0.0
437242640,ROUND LAB MUGWORT CALMING CLEANSER_150ml,Очищающая пенка для умывания лица от прыщей и акне Корея,Пенки,round lab,156,103,53,103,53,0,0,156,66.02564102564102,66.02564102564102,0.0,0.0,0.0
212753217,JIGOTT - Collagen Healing Cream [100ml],Крем для лица с коллагеном,Кремы,Jigott,29,19,10,19,10,0,0,29,65.51724137931035,65.51724137931035,0.0,0.0,0.0
214964091,JMSOLUTION - Mask Pack Disney,Набор корейских тканевых масок для лица 10 шт,Маски тканевые косметические,JMSolution,252,164,88,164,88,0,0,252,65.07936507936508,65.07936507936508,0.0,0.0,0.0
207475898,FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml],Корейский шампунь для волос с коллагеном,Шампуни,Farm Stay,308,194,114,194,114,0,0,308,62.98701298701299,62.98701298701299,0.0,0.0,0.0
170198180,Enough Rich Gold Double Wea Radiance Foundation 13 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,152,93,59,93,59,0,0,152,61.18421052631579,61.18421052631579,0.0,0.0,0.0
179611231,Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch,Гидрогелевые патчи для глаз Корея от отеков,Патчи,Petitfee,47,41,6,41,6,0,0,47,87.2340425531915,87.2340425531915,0.0,0.0,0.0
179611304,Petitfee Cacao Energizing Hydrogel Eye Patch,Тонизирующие патчи для глаз гидрогелевые с какао,Патчи,Petitfee,27,20,7,20,7,0,0,27,74.07407407407408,74.07407407407408,0.0,0.0,0.0
179611318,Petitfee Chamomile Lightening Hydrogel Eye Mask,Гидрогелевые патчи для глаз от отеков и морщин,Патчи,Petitfee,46,37,9,37,9,0,0,46,80.43478260869566,80.43478260869566,0.0,0.0,0.0
180711104,Petitfee GOLD,Гидрогелевые патчи для глаз с золотом,Патчи,Petitfee,36,24,12,24,12,0,0,36,66.66666666666666,66.66666666666666,0.0,0.0,0.0
180987509,Petitfee Pink Vita Brightening Eye Mask,Тканевые патчи под глаза от темных кругов,Патчи,Petitfee,25,17,8,17,8,0,0,25,68.0,68.0,0.0,0.0,0.0
