Артикул продавца,Артикул WB,Название,Предмет,Бренд,Размер,"Итог, ₽","Итог, ₽ (предыдущий период)","Выкупы, ₽","Выкупы, ₽ (предыдущий период)","Выкупы, шт","Выкупы, шт (предыдущий период)","Возвраты, ₽","Возвраты, ₽ (предыдущий период)","Возвраты, шт","Возвраты, шт (предыдущий период)","Логистика, ₽","Логистика, ₽ (предыдущий период)","Штрафы, ₽","Штрафы, ₽ (предыдущий период)","Комиссия WB, ₽","Комиссия WB, ₽ (предыдущий период)","Эквайринг, ₽","Эквайринг, ₽ (предыдущий период)","Потери, подмены и товары с дефектами, ₽","Потери, подмены и товары с дефектами, ₽ (предыдущий период)","Доплаты, ₽","Доплаты, ₽ (предыдущий период)","Программа лояльности, ₽","Программа лояльности, ₽ (предыдущий период)",nm,cost,net_units,cogs,profit_after_cogs_before_storage_ads,profit_per_unit_after_cogs_before_storage_ads,wb_costs
JIGOTT - Ultimate Real Collagen Toner [300ml],212760119,Корейский тонер для лица антивозрастной,Тоники,Jigott,-,94828.35,50796.65,164845.02,92197.08,162,117,0.0,0.0,0,0,-12206.26,-9017.33,0,0,-53574.57,-29964.02,-4235.84,-2419.08,0.0,0.0,0,0,0,0,212760119,265.36,162,42988.32,51840.030000000006,320.0001851851852,-70016.67
MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 21) [50ml],212825852,Корейский bb крем для лица увлажняющий тон 21,BB-кремы,MISSHA,-,0.0,2523.25,0.0,4233.0,0,3,0.0,0.0,0,0,0.0,-248.61,0,0,0.0,-1375.71,0.0,-85.43,0.0,0.0,0,0,0,0,212825852,,0,,,,0.0
JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml],212883090,Увлажняюший тонер для лица с гиалуроновой кислотой,Тоники,Jigott,-,39227.33,79814.38,68204.57,142809.93,67,183,0.0,0.0,0,0,-5066.02,-13204.49,0,0,-22166.47,-46413.19,-1744.75,-3377.87,0.0,0.0,0,0,0,0,212883090,162.13,67,10862.71,28364.620000000003,423.3525373134329,-28977.24
FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml],212885914,Сыворотка роллер для глаз увлажняющая,Сыворотки,Farm Stay,-,0.0,160391.82,0.0,273711.76,0,306,0.0,0.0,0,0,0.0,-17879.29,0,0,0.0,-88956.28,0.0,-6484.37,0.0,0.0,0,0,0,0,212885914,231.73,0,0.0,0.0,,0.0
Enoughcollagenwhiteningcovertip01,212889025,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,-,73351.49,22168.06,124106.46,37115.36,117,37,0.0,0.0,0,0,-6821.57,-1975.3,0,0,-40334.01,-12062.31,-3599.39,-909.69,0.0,0.0,0,0,0,0,212889025,183.24,117,21439.08,51912.41,443.69581196581197,-50754.97
Enoughcollagenwhiteningcovertip,212889027,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,-,63934.77,32408.02,112435.56,57596.52,106,57,0.0,0.0,0,0,-8903.14,-4894.02,0,0,-36541.03,-18718.58,-3056.62,-1575.9,0.0,0.0,0,0,0,0,212889027,183.24,106,19423.440000000002,44511.329999999994,419.91820754716974,-48500.79
Enoughcollagenwhiteningcovertip03,212889028,Консилер для лица плотный 03 корректор,Корректоры,ENOUGH,-,39511.8,24848.09,70543.45,44451.47,74,49,0.0,0.0,0,0,-6197.3,-3962.6,0,0,-22926.61,-14446.71,-1907.74,-1194.07,0.0,0.0,0,0,0,0,212889028,183.24,74,13559.76,25952.04,350.70324324324326,-31031.65
DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml],214301052,Увлажняющий тонер для лица Корея с центеллой азиатской,Тоники,DEOPROCE,-,2930.73,3953.37,5306.0,7193.0,7,10,0.0,0.0,0,0,-550.53,-721.08,0,0,-1724.45,-2337.68,-100.29,-180.87,0.0,0.0,0,0,0,0,214301052,,7,,,,-2375.27
DEOPROCE - REAL FRESH VEGAN CALMING TONER [200ml],214304289,Успокаивающий тоник для лица 200 мл,Тоники,DEOPROCE,-,361.12,8759.59,-523.12,16166.64,0,23,0.0,0.0,0,0,-122.0,-1803.03,-40,0,523.12,-5254.15,0.0,-349.87,523.12,0.0,0,0,0,0,214304289,,0,,,,884.24
DEOPROCE - SNAIL RECOVERY CREAM [100g],214304883,Корейский крем для лица антивозрастной,Кремы,DEOPROCE,-,59431.95,60293.17,97520.0,93986.66,46,48,0.0,0.0,0,0,-3802.43,-3399.5,0,0,-31694.0,-29540.24,-2591.62,-2243.25,0.0,1489.5,0,0,0,0,214304883,594.61,46,27352.06,32079.889999999996,697.3889130434782,-38088.05
DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml],214305705,Шампунь для волос с аргановым маслом,Шампуни,DEOPROCE,-,59762.56,191059.63,105867.82,357792.73,84,292,0.0,0.0,0,0,-15092.75,-49844.44,-20,0,-30859.55,-109768.06,-2972.76,-8783.87,2839.8,1663.27,0,0,0,0,214305705,367.92,84,30905.280000000002,28857.279999999995,343.53904761904755,-46105.26
DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],214305722,Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,-,223870.78,387509.13,394444.34,697220.13,150,281,0.0,0.0,0,0,-42552.04,-77561.75,0,0,-119394.18,-216075.96,-10033.34,-16073.29,1406.0,0.0,0,0,0,0,214305722,726.85,150,109027.5,114843.28,765.6218666666666,-170573.56
SKIN1004 - Madagascar Centella Ampoule [30ml],214311963,Сыворотка Корея увлажняющая против морщин,Сыворотки,SKIN1004,-,32747.45,33024.15,52973.83,53653.0,27,29,0.0,0.0,0,0,-1778.66,-1950.4,0,0,-17216.49,-17437.1,-1231.23,-1241.35,0.0,0.0,0,0,0,0,214311963,367.89,27,9933.029999999999,22814.420000000002,844.9785185185186,-20226.38
SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml],214312149,Увлажняющая ночная маска для сухой кожи,Кремы,SKIN1004,-,5752.43,5274.86,9680.59,9038.77,7,7,0.0,0.0,0,0,-531.3,-600.49,0,0,-3146.16,-2937.57,-250.7,-225.85,0.0,0.0,0,0,0,0,214312149,294.15,7,2059.0499999999997,3693.3800000000006,527.6257142857144,-3928.16
THE ORDINARY - Argireline Solution 10% [30ml],214312385,Антивозрастная сыворотка для лица с аргирелином 10%,Сыворотки,The ordinary,-,39635.45,36986.85,67078.73,61268.23,37,38,-1813.0,0.0,1,0,-2795.81,-2939.37,-10,0,-21211.18,-19912.07,-1613.29,-1429.94,0.0,0.0,0,0,0,0,214312385,722.04,36,25993.44,13642.009999999998,378.9447222222222,-25630.280000000002
THE SAEM Saemmul Perfect Curling Mascara [8ml],214312837,Тушь для ресниц Корея подкручивающая,Туши,THE SAEM,-,15872.34,137515.36,27421.47,248768.95,53,497,0.0,-499.0,0,1,-2630.3,-24674.29,0,0,-8627.86,-80685.34,-711.5,-5394.96,420.53,0.0,0,0,0,0,214312837,179.09,53,9491.77,6380.57,120.38811320754716,-11549.13
JMSOLUTION - Mask Pack Disney,214964091,Набор корейских тканевых масок для лица 10 шт,Маски тканевые косметические,JMSolution,-,234223.68,42849.61,428783.23,79065.99,367,70,0.0,0.0,0,0,-45156.25,-8319.75,-50,0,-138745.37,-25696.13,-11507.74,-2200.5,899.81,0.0,0,0,0,0,214964091,463.2,367,169994.4,64229.28,175.0116621253406,-194559.55
JMSOLUTION - Mask Pack Black,214977901,Маски для лица тканевые,Маски тканевые косметические,JMSolution,-,124158.59,52099.01,221673.58,103309.87,215,110,0.0,0.0,0,0,-25288.93,-14057.5,-150,-919,-69596.5,-33575.37,-6105.2,-2658.99,3625.64,0.0,0,0,0,0,214977901,463.2,215,99588.0,24570.589999999997,114.28181395348835,-97514.98999999999
PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs],226114831,Корейские гидрогелевые маски для лица с артишоком,Маски гидрогелевые,Petitfee,-,0.0,233720.1,0.0,388735.1,0,271,0.0,0.0,0,0,0.0,-20361.51,0,0,0.0,-126338.88,0.0,-8314.61,0.0,0.0,0,0,0,0,226114831,479.27,0,0.0,0.0,,0.0
PETITFEE - Gold Hydrogel Mask Pack [5pcs],226114935,Маски для лица с золотом,Маски гидрогелевые,Petitfee,-,146639.4,260250.91,243612.72,432305.28,162,304,0.0,0.0,0,0,-13277.96,-23474.78,0,-30,-78439.55,-139768.65,-6342.89,-9862.93,1087.08,1081.99,0,0,0,0,226114935,507.16,162,82159.92,64479.479999999996,398.02148148148143,-96973.32
PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],226115141,Корейские гидрогелевые маски для лица против морщин,Маски гидрогелевые,Petitfee,-,118438.57,226687.99,198791.94,376305.58,133,266,0.0,0.0,0,0,-10703.34,-18635.27,0,0,-64607.32,-122298.03,-5042.71,-8684.29,0.0,0.0,0,0,0,0,226115141,457.75,133,60880.75,57557.82000000001,432.76556390977447,-80353.37000000001
