Артикул WB,Артикул продавца,Название,Предмет,Бренд,Регион,"Итого заказов, шт","Итого заказов по товарам локально, шт","Итого заказов по товарам не локально, шт",Локальность_региона_%,"Остатки склад ВБ, шт",Целевой_остаток_30дней_с_буфером,Рекомендовано_поставить_шт,Первая_волна_14дней_шт,Прибыль_на_шт_до_рекламы,Прибыль_если_рекомендованный_объем_продастся,Потенциал_прибыли_от_возврата_спроса,Потенциал_экономии_ИРП_мес,Потенциал_прибыли_SKU_по_упущенным_выкупам,Упущенные_выкупы_SKU_очищено,Упущенные_выкупы_руб_SKU_очищено,Переплата_ИРП_SKU_мес,Время доставки
154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,Дальневосточный и Сибирский,12,0,12,0.0,0,14.0,14.0,7.0,224.13873563218388,3137.9422988505744,0.0,123.14684444444444,0.0,0.0,0.0,184.72026666666667,3д 4ч
207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Корейская пенка для умывания лица увлажняющая,Скрабы,Farm Stay,Дальневосточный и Сибирский,12,0,12,0.0,0,14.0,14.0,7.0,227.78927272727273,3189.0498181818184,0.0,144.71957777777774,0.0,0.0,0.0,217.07936666666663,5д 6ч
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,Беларусь,12,0,12,0.0,0,14.0,14.0,7.0,,,,92.919522513089,,231.92,99464.83,1478.9690666666668,2д 9ч
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,Центральный,12,0,12,0.0,0,14.0,14.0,7.0,,,,55.567629268292684,,5.0,2754.08,189.8560666666667,2д 5ч
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,Дальневосточный и Сибирский,12,0,12,0.0,0,14.0,14.0,7.0,,,,109.84488648648652,,0.0,0.0,338.68840000000006,4д 22ч
207483780,JIGOTT - Birds Nest Firming Cream [70ml],Корейский крем для лица антивозрастной от морщин,Кремы,Jigott,Северо-Западный,12,0,12,0.0,2,14.0,12.0,6.0,244.97433796296298,2939.6920555555557,0.0,146.14581276595746,0.0,0.0,0.0,572.4044333333334,2д 19ч
151132052, ENOUGH COLLAGEN 3IN1 21,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,Южный и Северо-Кавказский,14,3,11,21.428571428571427,8,17.0,9.0,5.0,250.31522222222227,2252.8370000000004,0.0,94.54369833333337,0.0,0.0,0.0,171.89763333333337,1д 21ч
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,Дальневосточный и Сибирский,11,0,11,0.0,0,13.0,13.0,7.0,402.03251111111103,5226.422644444443,2702.293262842105,111.94326000000001,9335.194907999998,23.22,22842.79,305.29980000000006,5д 22ч
207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,Беларусь,11,0,11,0.0,0,13.0,13.0,7.0,241.61442918454935,3140.9875793991414,0.0,74.01425096153847,0.0,0.0,0.0,699.7711,1д 20ч
170198835,Enough Collagen Foundation Cover Up Ultra X10 13 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,Северо-Западный,11,0,11,0.0,0,13.0,13.0,7.0,246.5825012019231,3205.572515625,0.0,183.67766954732514,0.0,0.0,0.0,1352.535566666667,1д 23ч
