Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,182,442969,64,35,0.0,0.0
150925322,Collagen_Enough_Moisture_Foundation_21,Увлажняющий тональный крем для лица тон 21,Тональные кремы,ENOUGH,451,436708,65,46,0.0,0.0
207482718,JIGOTT - Snail Lifting Cream [70ml],Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,584,433095,865,732,0.0,0.0
207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Корейский шампунь против выпадения волос с черным чесноком,Шампуни,Farm Stay,320,424032,924,720,0.0,0.0
551392965,CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml],Крем для восстановления барьера лица,Кремы,Celimax,169,409499,12,10,0.0,0.0
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,749,402135,110,90,0.0,0.0
868700077,MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml],Сыворотка с микроиглами 1Dx для интенсивного ухода,Сыворотки,manyo,100,393930,58,46,0.0,0.0
214977901,JMSOLUTION - Mask Pack Black,Маски для лица тканевые,Маски тканевые косметические,JMSolution,249,363300,32,24,0.0,0.0
207796350,ELIZAVECCA - CER-100  [100ml],Маска для волос увлажняющая с коллагеном,Маски косметические,Elizavecca,374,344966,18,14,0.0,0.0
437797551,ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml,Сыворотка для лица c витамином С и ниацинамидом,Сыворотки,round lab,168,340058,24,13,0.0,0.0
207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Увлажняющий крем для лица с коллагеном,Кремы,farmstay,211,324307,154,122,0.0,0.0
240311751,Робот мойщик окон sBot w250,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,56,308221,109,85,0.0,0.0
437254254,ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,Крем для лица с чёрной соей и пантенолом успокаивающий Корея,Кремы,round lab,130,307858,66,41,0.0,0.0
255574453,JIGOTT - MASK 15,Увлажняющие тканевые маски для лица Корея 15 штук,Маски тканевые косметические,Jigott,236,300192,11,10,0.0,0.0
551472457,CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml],Сыворотка для лица с экстрактом нони,Сыворотки,Celimax,148,279561,23,8,0.0,0.0
170198337,Enough 8 Peptide Full Cover Perfect Foundation 21 тон,Корейский тональный крем с пептидами 21 тон,Тональные кремы,ENOUGH,243,273988,115,73,0.0,0.0
551482493,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml],Сыворотка для лица отбеливающая,Сыворотки,Celimax,116,269283,7,5,0.0,0.0
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,174,261000,1490,911,0.0,0.0
419630142,FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,Сыворотка для лица увлажняющая c муцыном улитки,Сыворотки,Farm Stay,212,260676,176,141,0.0,0.0
206057411,ELIZAVECCA_fruit_toner,Корейский тоник для лица от черных точек,Тоники,Elizavecca,227,255947,103,80,0.0,0.0
663654300,videokamera4gneww,Камера видеонаблюдения уличная от сим карты 4G,Камеры видеонаблюдения,Камера видеонаблюдения IP Wi-Fi,69,247747,3,2,0.0,0.0
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,139,245752,4951,3718,0.0,0.0
207481251,COSRX Advanced Snail 96 Mucin Power Essence [100ml],Корейская эссенция для лица увлажняющая,Сыворотки,COSRX,102,231152,44,34,0.0,0.0
179611304,Petitfee Cacao Energizing Hydrogel Eye Patch,Тонизирующие патчи для глаз гидрогелевые с какао,Патчи,Petitfee,165,230105,27,20,0.0,0.0
333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,441,222264,479,366,0.0,0.0
437776835,ROUND LAB PINE CALMING CICA AMPOULE_30ml,Сыворотка для жирной кожи лица увлажняющая с центеллой,Сыворотки,round lab,101,214421,21,14,0.0,0.0
