Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Красота,437242640,ROUND LAB MUGWORT CALMING CLEANSER_150ml,Пенки,round lab,896.1,385,5851,0.7979609922077923,9,463.5
Красота,608837066,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка,Шампуни,DEOPROCE,812.3702902800001,184,2360,2.213376543478261,8,420.1915294551725
Красота,226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Маски гидрогелевые,Petitfee,780.388,386,5072,0.9120000000000001,8,403.6489655172414
Красота,437776835,ROUND LAB PINE CALMING CICA AMPOULE_30ml,Сыворотки,round lab,710.8675000000001,345,4657,0.4296603130434783,10,367.6900862068966
Красота,180711041,Petitfee EGF,Патчи,Petitfee,697.653,433,4386,0.405,5,360.855
Красота,190160008,Elizavecca Milky Piggy EGF elastic retinol [100ml],Кремы,Elizavecca,697.0165000000001,290,4285,0.576,5,360.525775862069
Красота,207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Кремы,farmstay,672.868,297,4477,0.567,8,348.03517241379313
Красота,179611231,Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch,Патчи,Petitfee,641.996,354,4142,0.4943270056497175,7,332.06689655172414
Красота,214304883,DEOPROCE - SNAIL RECOVERY CREAM [100g],Кремы,DEOPROCE,636.429,371,4143,0.7,7,329.1874137931034
Красота,608841921,DEOPROCE SHAMPOO - BLACK GARLIC[200ml],Шампуни,DEOPROCE,636.3485000000001,506,4637,0.863136,10,329.145775862069
Красота,214312149,SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml],Кремы,SKIN1004,615.8175,406,4262,0.36,7,318.5262931034483
Красота,212889027,Enoughcollagenwhiteningcovertip,Корректоры,ENOUGH,603.1255,264,3754,0.3502183863636364,10,311.9614655172414
Красота,551518955,CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml],Тоники,Celimax,596.8815,348,3967,0.759981,5,308.7318103448276
Красота,204258828,COSRX_Salicylic_Acid_Cleanser,Скрабы,COSRX,587.808,443,3729,0.6299999999999999,10,304.03862068965515
Красота,212719009,DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml],CC-кремы,dr.Jart+,587.776,166,3711,0.44799999999999995,5,304.02206896551724
Красота,205054338,manyo_bifida_biome_toner,Тоники,manyo,585.2697984,193,3325,1.116288,11,302.7257577931034
Красота,551607905,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads],Пэды косметические,Celimax,572.456,339,3735,0.9556960000000001,11,296.09793103448277
Красота,151132051, ENOUGH COLLAGEN 3IN1 13,Тональные кремы,ENOUGH,565.6,200,3932,0.24,7,292.55172413793105
Красота,437850261,ROUND LAB SOYBEAN CLEANSING OIL_200ml,Гидрофильные масла,round lab,537.109188,438,3438,1.029,7,277.8150972413793
Красота,212889028,Enoughcollagenwhiteningcovertip03,Корректоры,ENOUGH,517.6205,401,3388,0.3632689476309227,12,267.7347413793103
Красота,248929125,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g],Кремы,Some by mi,509.11400000000003,325,3140,0.252,6,263.3348275862069
