Прио	Товар	Артикул	Цель продаж/мес	Выкупы	ДРР	Реклама ₽/мес	Обоснование
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Тональный крем с пептидами 13 тон	170198738	50	50	25%	13750	Маг 98 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH - Collagen Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 21 тон	150925322	50	50	25%	13750	Маг 92 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	226114935	50	50	25%	13750	Маг 89 шт/мес, конкур ~1/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 3в1 [13 тон]	151132051	50	50	25%	13750	Маг 84 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для лица	611744611	50	50	25%	13750	Маг 78 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	212759698	50	50	25%	13750	Маг 68 шт/мес, конкур ~70/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	180711104	50	50	25%	13750	Маг 65 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	437190353	50	50	25%	13750	Маг 61 шт/мес, конкур ~82/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	212883090	50	50	25%	13750	Маг 54 шт/мес, конкур ~70/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 3в1 [21 тон]	151132052	50	50	25%	13750	Маг 41 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	226115248	50	50	25%	13750	Маг 27 шт/мес, конкур ~1/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	226114831	50	50	25%	13750	Маг 4 шт/мес, конкур ~1/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	551600265	50	50	25%	13750	Маг 1 шт/мес, конкур ~103/мес; цель=12% маг, 50 выкупов→~14 отзывов
бел	LANEIGE LIP SLEEPING MASK-BERRY [3g]	868761530	50	50	25%	12500	Маг 140 шт/мес, конкур ~35/мес; цель=12% маг, 50 выкупов→~14 отзывов
бел	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	868575374	50	50	25%	12500	Маг 91 шт/мес, конкур ~176/мес; цель=12% маг, 50 выкупов→~14 отзывов
бел	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	868700077	50	50	25%	12500	Маг 46 шт/мес, конкур ~60/мес; цель=12% маг, 50 выкупов→~14 отзывов
