Прио	Товар	Артикул	Главный ключ (цель)	Выкупы	Цель продаж/мес	ДРР	Реклама ₽/мес	Ключи старта (первые выкупы)	Ключи СЧ (цель)	Цель позиции
жёл	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	212883090	тонер для лица корея (7 375)	50	50	25%	13750		тонер для лица корея (7 375) · тонер для лица увлажняющий (4 312)
НЧ-старт: увлажняющий тонер для лица (999) · тонер увлажняющий для лица (990)	топ-30
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 3в1 [21 тон]	151132052	collagen тональный крем (3 944)	50	50	25%	13750	тональный крем с коллагеном 3в1 21 тон · тональный крем collagen · корейский тональный крем для лица (982)	тональный крем с спф (3 489) · collagen тональный крем (3 944) · тональный крем коллаген (3 596) · тональный крем для лица корея (3 203) · корейский тональный крем (2 282)	топ-30
жёл	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	226115248	маска для лица увлажняющая (7 022)	50	50	25%	13750	маска для лица тонизирующая · маска с какао для лица	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931)
НЧ: маски для лица увлажняющие (673)
ВЧ: гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-30
жёл	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	226114831	маска для лица увлажняющая (7 022)	50	50	25%	13750	маска для лица успокаивающая · маска с артишоком для лица	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931)
НЧ: маски для лица увлажняющие (673)
ВЧ: гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-30
жёл	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	551600265	пилинг пэды для лица (7 850)	50	50	25%	13750	пэды с BHA · пэды с центеллой · пэды для лица от прыщей (779)	пилинг пэды для лица (7 850) · пэды для лица очищающие (2 871) · пэды для лица увлажняющие (2 010) · отшелушивающие пэды для лица (998)	топ-30
бел	LANEIGE LIP SLEEPING MASK-BERRY [3g]	868761530	бальзамы для губ (6 051)	50	50	25%	12500	маска для губ laneige (1 213) · бальзам для губ в баночке (1 193) · бальзам для губ корея (780)	бальзамы для губ (6 051) · маска для губ ночная (2 209) · бальзам для губ увлажняющий питательный (2 343) · увлажняющий бальзам для губ (2 196) · ночная маска для губ (1 786)	топ-30
бел	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	868575374	гель для умывания корея (4 562)	50	50	25%	12500	гель для умывания для чувствительной кожи (1 035) · гель с бифидобактериями (назв.) · гель для умывания для сухой кожи (705)	гель для умывания корея (4 562) · гель для лица умывания (3 373) · гель пенка для умывания (2 027) · очищающий гель для умывания (1 069)
Не берём (ВЧ): гель для умывания (85 987), гель для умывания лица (12 711), гель для умывания от прыщей (10 822). Мусор: чужие бренды (aravia, bioderma, mixit…), мужской.	топ-30
бел	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	868700077	сыворотка для лица от морщин (9 837)	50	50	25%	12500	сыворотка с микроиглами (назв.) · сыворотка с бифидобактериями (372) · сыворотка для лица manyo (264)	сыворотка для лица от морщин (9 837) · сыворотка для лица антивозрастная (4 779) · сыворотка для лица антивозрастная корея (2 563) · сыворотка от морщин (2 021)
Не берём (ВЧ): сыворотка для лица (203 634), увлажняющая сыворотка для лица (114 807), корейская сыворотка для лица (14 589), manyo (21 251 — бренд).	топ-30
