JMSOLUTION;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
57;;제이엠솔루션 더 이펙트 센텔라 & 카밍 마스크;JMSOLUTION THE EFFECT CENTELLA & CALMING MASK;8809562562092 ; 24ml*10ea ;60; ₩10 000 ; ₩3 080 
58;;제이엠솔루션 더 이펙트 레티놀 & 퍼밍 마스크;JMSOLUTION THE EFFECT RETINOL & FIRMING MASK;8809562562030 ; 24ml*10ea ;60; ₩10 000 ; ₩3 080 
59;;제이엠솔루션 더 이펙트 히알루로닉 세럼_30ML;JMSOLUTION THE EFFECT HYALURONIC SERUM;8809696356796 ; 30ML ;80; ₩19 800 ; ₩2 860 
60;;제이엠솔루션 더 이펙트 NMF 세럼_30ML;JMSOLUTION THE EFFECT NMF SERUM;8809696356765 ; 30ML ;80; ₩19 800 ; ₩2 860 
61;;제이엠솔루션 더 이펙트 세라마이드 세럼_30ML;JMSOLUTION THE EFFECT CERAMIDE SERUM;8809696356758 ; 30ML ;80; ₩19 800 ; ₩2 860 
62;;제이엠솔루션 더 이펙트 콜라겐 세럼_30ML;JMSOLUTION THE EFFECT COLLAGEN SERUM;8809696356772 ; 30ML ;80; ₩19 800 ; ₩2 860 
63;;제이엠솔루션 더 이펙트 PRDN 세럼_30ML;JMSOLUTION THE EFFECT PDRN SERUM;8809696356789 ; 30ML ;80; ₩19 800 ; ₩2 860 
64;;제이엠솔루션 더 이펙트 비타C 세럼_30ML;JMSOLUTION THE EFFECT VITE C SERUM;8809696356963 ; 30ML ;80; ₩19 800 ; ₩2 860 
65;;제이엠솔루션 더 이펙트 나이아신아마이드 세럼_30ML;JMSOLUTION THE EFFECT NIACINAMIDE SERUM;8809696356956 ; 30ML ;80; ₩19 800 ; ₩2 860 
66;;제이엠솔루션 더 이펙트 글루타치온 세럼_30ML;JMSOLUTION THE EFFECT GLUTATHIONE SERUM;8809696356949 ; 30ML ;80; ₩19 800 ; ₩2 860 
67;;제이엠솔루션 더 이펙트 센텔라 세럼_30ML;JMSOLUTION THE EFFECT CENTELLA SERUM;8809696356932 ; 30ML ;80; ₩19 800 ; ₩2 860 
68;;제이엠솔루션 더 이펙트 레티놀 세럼_30ML;JMSOLUTION THE EFFECT RETINOL SERUM;8809696356925 ; 30ML ;80; ₩19 800 ; ₩2 860 
69;;제이엠솔루션 물광 에스오에스 링거 하이드로겔 마스크 스페셜_5매입;JMSOLUTION WATER LUMINOUS S.O.S RINGER HYDROGEL MASK SPECIAL;8809794738401 ; 25g*5ea ;54; ₩20 000 ; ₩5 511 
70;;제이엠솔루션 꿀광 로얄 프로폴리스 하이드로겔 마스크 스페셜_5매입;JMSOLUTION HONEY LUMINOUS ROYAL PROPOLIS HYDROGEL MASK SPECIAL;8809794738364 ; 25g*5ea ;54; ₩20 000 ; ₩5 511 
71;;제이엠솔루션 더마 케어 워터덤 모이스처 마스크_5매입;JMSOLUTION DERMA CARE WATERDERM MOISTURE MASK;8809794735066 ; 30ml*5ea ;64; 미정 ; ₩2 860 
72;;제이엠솔루션 더마 케어 카밍덤 수딩 마스크_5매입;JMSOLUTION DERMA CARE CALMINGDERM SOOTHING MASK;8809794735042 ; 30ml*5ea ;64; 미정 ; ₩2 860 
73;;제이엠솔루션 프라임 골드 인텐시브 마스크_5매입;JMSOLUTION PRIME GOLD INTENSIVE MASK;8809711719650 ; 30ml*5ea ;64; ₩20 000 ; ₩2 860 
74;;제이엠솔루션 물광 연어 리페어 마스크 스페셜_5매입;JMSOLUTION WATER LUMINOUS SALMON REPAIR MASK SPECIAL;8809852541134 ; 40ml*5ea ;64; ₩30 000 ; ₩2 860 
