JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
50;;제이멜라 인 프랑스 퓨어 블러썸 츄 바디 워시 500ml;JMELLA IN FRANCE PURE BLOSSOM CHU BODY WASH;8809852543022 ;500ml;20; ₩8 900 ; ₩2 750 
51;;제이멜라 인 프랑스 퓨어 블러썸 츄 바디 로션 500ml;JMELLA IN FRANCE PURE BLOSSOM CHU BODY LOTION;8809852543077 ;500ml;20; ₩7 900 ; ₩2 970 
52;;제이멜라 인 프랑스 퓨어 블러썸 츄 헤어 샴푸 1,000ml;JMELLA IN FRANCE PURE BLOSSOM CHU HAIR SHAMPOO;8809852543954 ;1000ml;12; ₩11 800 ; ₩4 510 
53;;제이멜라 인 프랑스 퓨어 블러썸 츄 바디 워시 1,000ml;JMELLA IN FRANCE PURE BLOSSOM CHU BODY WASH;8809852544005 ;1000ml;12; ₩11 800 ; ₩4 510 
54;;제이멜라 인 프랑스 퓨어 스프링 애플 헤어 샴푸 500ml;JMELLA IN FRANCE PURE SPRING APPLE HAIR SHAMPOO;8809852542742 ;500ml;20; ₩7 900 ; ₩2 750 
55;;제이멜라 인 프랑스 퓨어 스프링 애플 헤어 트리트먼트 500ml;JMELLA IN FRANCE SPRING APPLE HAIR TREATMENT;8809852542759 ;500ml;20; ₩8 900 ; ₩2 970 
56;;제이멜라 인 프랑스 퓨어 스프링 애플 바디 워시 500ml;JMELLA IN FRANCE PURE SPRING APPLE BODY WASH;8809852543039 ;500ml;20; ₩7 900 ; ₩2 750 
57;;제이멜라 인 프랑스 퓨어 스프링 애플 바디 로션 500ml;JMELLA IN FRANCE PURE SPRING APPLE BODY LOTION;8809852543084 ;500ml;20; ₩8 900 ; ₩2 970 
58;;제이멜라 인 프랑스 퓨어 스프링 애플 헤어 샴푸 1,000ml;JMELLA IN FRANCE PURE SPRING APPLE HAIR SHAMPOO;8809852543961 ;1000ml;12; ₩11 800 ; ₩4 510 
59;;제이멜라 인 프랑스 퓨어 스프링 애플 바디 워시 1,000ml;JMELLA IN FRANCE PURE SPRING APPLE BODY WASH;8809852544012 ;1000ml;12; ₩11 800 ; ₩4 510 
60;;제이멜라 인 프랑스 퓨어 레이지 바이브 헤어 샴푸 500ml;JMELLA IN FRANCE PURE LAZY VIBES HAIR SHAMPOO;8809852542766 ;500ml;20; ₩7 900 ; ₩2 750 
