FARMSTAY;;;;;;;;
NO;IMAGE;BARCODE;NAME (KOR);NAME (ENG);VOL;1 BOX; RETAIL PRICE ;SUPPLY PRICE
105;;8809469775854 ;팜스테이 24K 골드 솔루션 퍼펙트 앰플;FARMSTAY 24K GOLD SOLUTION PERFECT AMPOULE;100ml;50; ₩112 000 ; ₩17 875 
106;;8809638300382 ;팜스테이 트로피칼 후르츠 핸드크림 아보카도;FARMSTAY TROPICAL FRUIT HAND CREAM AVOCADO;50g;100; ₩7 000 ; ₩1 045 
107;;8809638300399 ;팜스테이 트로피칼 후르츠 핸드크림 망고;FARMSTAY TROPICAL FRUIT HAND CREAM MANGO;50g;100; ₩7 000 ; ₩1 045 
108;;8809638300405 ;팜스테이 트로피칼 후르츠 핸드크림 코코넛;FARMSTAY TROPICAL FRUIT HAND CREAM COCONUT;50g;100; ₩7 000 ; ₩1 045 
109;;8809480772139 ;팜스테이 홍삼 프라임 리페어 크림;FARMSTAY RED GINSENG PRIME REPAIR CREAM;100ml;100; ₩25 000 ; ₩5 434 
110;;8809469776899 ;팜스테이 리얼 아보카도 오일 세럼;FARMSTAY REAL AVOCADO NUTRITION OIL SERUM;100ml;100; ₩20 000 ; ₩3 949 
111;;8809469776691 ;팜스테이 24K 골드＆펩타이드 프라임 앰플;FARMSTAY 24K GOLD & PEPTIDE SOLUTION PRIME AMPOULE;250ml;40; ₩35 000 ; ₩7 832 
112;;8809480772290 ;팜스테이 히아루론산 프리미엄 밸런싱 크림;FARMSTAY HYALURONIC ACID PREMIUM BALANCING CREAM;100g;100; ₩20 000 ; ₩3 751 
113;;8809480772306 ;팜스테이 오투 프리미엄 아쿠아 크림;FARMSTAY O2 PREMIUN AQUA CREAM;100g;100; ₩20 000 ; ₩4 279 
114;;8809809805128 ;팜스테이 그린티씨드 모이스쳐 썬크림;FARMSTAY GREEN TEA SEED MOISTURE SUN CREAM;70g;100; ₩12 000 ; ₩2 805 
115;;8800260031965 ;팜스테이 리얼 코코넛 에센스 마스크;FARMSTAY REAL COCONUT ESSENCE MASK;23ml;600; ₩1 200 ; ₩215 
116;;8800260031958 ;팜스테이 리얼 망고 에센스 마스크;FARMSTAY REAL MANGO ESSENCE MASK;23ml;600; ₩1 200 ; ₩215 
117;;8800260031941 ;팜스테이 리얼 아보카도 에센스 마스크;FARMSTAY REAL AVOCADO ESSENCE MASK;23ml;600; ₩1 200 ; ₩215 
118;;8800260031934 ;팜스테이 리얼 피치 에센스 마스크;FARMSTAY REAL PEACH ESSENCE MASK;23ml;600; ₩1 200 ; ₩215 
119;;8809519371517 ;팜스테이 콜라겐 워터 풀 모이스트 클렌징 티슈;FARMSTAY COLLAGEN WATER FULL MOIST CLEANSING TISSUE;30sheets;30; ₩4 000 ; ₩979 
120;;8809519371586 ;팜스테이 알로에 모이스쳐 수딩 클렌징 티슈;FARMSTAY ALOE MOISTURE SOOTHING CLEANSING TISSUE;30sheets;30; ₩4 000 ; ₩979 
121;;8809389034321 ;팜스테이 24K 골드&펩타이드 솔루션 앰플 아이패치;FARMSTAY 24K GOLD & PEPTIDE SOLUTION AMPOULE EYE PATCH;90g;100; ₩30 000 ; ₩7 007 
