Приоритет	Тип	Заголовок	Цена, руб	Категория Авито	Описание	Что входит	Локация	Нужны фото
2	лот	Клапанные коробки судовая, склад Владивосток	20 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: клапанные коробки. | Всего 6 наименований, 30 единиц. | Цены от 20 000 до 80 000 руб за единицу. |  | Основные позиции: | - Коробка 2-х клапановая фланцевая Ду80 — 15 шт, 44 000 руб | - Коробка 3-х клап.фланцевая невозврат.Ду80 Ру6, чертеж 526-03.097 — 6 шт, 80 000 руб | - Коробка 2-х клапановая фланцевая Ду50 — 4 шт, 35 000 руб | - Коробка 2-х клапановая фланцевая Ду80, чертеж 526-03.163 — 2 шт, 60 000 руб | - Коробка 2-х клапановая фланцевая Ду80 — 2 шт, 44 000 руб | - Коробка 2-х клапанная корпус — 1 шт, 20 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	6 наименований, 30 единиц, на 1 508 000 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Блокформы и балласт судовая, склад Владивосток	11 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: блокформы и балласт. | Всего 2 наименований, 116 единиц. | Цены от 11 000 до 11 000 руб за единицу. |  | Основные позиции: | - Блокформы LBH немец.круглые (отверстие посредине) — 71 шт, 11 000 руб | - Блокформы LBH русск.овальные — 45 шт, 11 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	2 наименований, 116 единиц, на 1 276 000 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Реле, датчики, приборы судовая, склад Владивосток	299	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: реле, датчики, приборы. | Всего 31 наименований, 298 единиц. | Цены от 299 до 59 800 руб за единицу. |  | Основные позиции: | - РШВ2-41, чертеж 83 — 83 шт, 5 980 руб | - Коробка соединительная Т9-4М, чертеж 51 — 51 шт, 1 980 руб | - Пульт 1-маленький 1-большой — 2 шт, 50 000 руб | - Симметр 127/220В — 1 шт, 59 800 руб | - СЯ10-2-0 ящик соединительный, чертеж 8 — 8 шт, 6 900 руб | - РШ2-41, чертеж 57 — 57 шт, 730 руб | - КВП Коробка соединительная КВП4-1,5 10А 380А, чертеж 30 — 30 шт, 1 380 руб | - Звонок ЗПВ 220В, чертеж 4 — 4 шт, 7 500 руб | - Реле-регулятор РРТ-32, чертеж 1 — 1 шт, 28 500 руб | - Реле давления РНД-1, чертеж 2 — 2 шт, 7 980 руб | - Реле уровня РОС-400, чертеж 1 — 1 шт, 15 893 руб | - РШП-3 380В 35А (розетка), чертеж 10 — 10 шт, 1 487 руб | - и еще 19 наименований |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	31 наименований, 298 единиц, на 1 124 251 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Головки, грибки, компенсаторы судовая, склад	4 500	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: головки, грибки, компенсаторы. | Всего 12 наименований, 73 единиц. | Цены от 4 500 до 25 000 руб за единицу. |  | Основные позиции: | - Головка воздушно-квадрат.(поплавковая) Ду80 (541-03.218) — 19 шт, 14 000 руб | - Грибки АМГ Ду 175 (541-03.316-03) — 10 шт, 25 000 руб | - Головка воздушно-квадрат.(поплавковая) Ду125 (без поплавка) (541-03.220) — 6 шт, 25 000 руб | - Колонка указательная с плоским рифленым стеклом Ду10Ру10, чертеж 598-03.083-01 — 16 шт, 6 000 руб | - Грибки АМГ Ду 150 (верхние) (541-03.315-02) — 3 шт, 18 000 руб | - Грибки Ду200 (б/у) (541-03.313-04) — 2 шт, 20 000 руб | - Грибки АМГ Ду 200 с нижнем приводом (541-03.313-04) — 2 шт, 20 000 руб | - Головка воздушно-квадрат.(поплавковая) Ду25 (541-03.232) — 8 шт, 4 500 руб | - Грибки АМГ Ду 150 (нижние) (541-03.316-02) — 2 шт, 17 000 руб | - Эжектор ВЭЖ 6,3 — 1 шт, 25 000 руб | - Грибки Ду125 б-у — 1 шт, 20 000 руб | - Головка воздушно-квадрат.(поплавковая) Ду32 (541-03.224; 541-03.233) — 3 шт, 5 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	12 наименований, 73 единиц, на 1 026 000 руб	склад Владивосток	да, общий план и крупные позиции
2	отдельное	Плита камбузная ПКЭ-300-ОМ4 3-220V; 25,2kw ;№672;	480 000	Оборудование для бизнеса / Промышленное	Плита камбузная ПКЭ-300-ОМ4 3-220V; 25,2kw ;№672; 460кг; 11/91г В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Плита камбузная ПКЭ-300-ОМ4 3-220V; 25,2kw ;№672; 460кг; 11/91г — 1 шт	Гараж 2	да
2	отдельное	Плита камбузная ПКЭ-300-ОМ4 3-127V; 25,2kw ;№1108;	480 000	Оборудование для бизнеса / Промышленное	Плита камбузная ПКЭ-300-ОМ4 3-127V; 25,2kw ;№1108; 460кг; 04/92г В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Плита камбузная ПКЭ-300-ОМ4 3-127V; 25,2kw ;№1108; 460кг; 04/92г — 1 шт	Гараж 2	да
2	отдельное	Компрессор 2ОК1 синий судовой	450 000	Оборудование для бизнеса / Промышленное	Компрессор 2ОК1 синий В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Компрессор 2ОК1 синий — 1 шт	Гараж 2	да
2	отдельное	Клапан фланцевый проходной Ду200 судовой	150 000	Оборудование для бизнеса / Промышленное	Клапан фланцевый проходной Ду200 В наличии 3 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клапан фланцевый проходной Ду200 — 3 шт	Склад 1А/1Б	да
2	отдельное	Коленвал 18/22 судовой	400 000	Оборудование для бизнеса / Промышленное	Коленвал 18/22 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Коленвал 18/22 — 1 шт	Гараж 1	да
2	отдельное	Весы для ЛБАШ ( похоже на вентиляцию ) судовой	100 000	Оборудование для бизнеса / Промышленное	Весы для ЛБАШ ( похоже на вентиляцию ) В наличии 4 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Весы для ЛБАШ ( похоже на вентиляцию ) — 4 шт	Гараж 2	да
2	отдельное	Фильтр забортной воды Ду 300 судовой	400 000	Оборудование для бизнеса / Промышленное	Фильтр забортной воды Ду 300 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Фильтр забортной воды Ду 300 — 1 шт	Фойе	да
2	отдельное	Клинкет Ду 250 судовой	200 000	Оборудование для бизнеса / Промышленное	Клинкет Ду 250 В наличии 2 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клинкет Ду 250 — 2 шт	Фойе	да
2	отдельное	Клинкет Ду 250 не комплект судовой	200 000	Оборудование для бизнеса / Промышленное	Клинкет Ду 250 не комплект В наличии 2 шт, Владивосток. Внимание: не комплект. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клинкет Ду 250 не комплект — 2 шт	Фойе	да
2	отдельное	Сепаратор СЦ-1,5 с двигателем б/у судовой	380 000	Оборудование для бизнеса / Промышленное	Сепаратор СЦ-1,5 с двигателем б/у В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Сепаратор СЦ-1,5 с двигателем б/у — 1 шт	Фойе	да
2	отдельное	Фильтр фланц.прох. забортной воды Ду100 Ру4	120 000	Оборудование для бизнеса / Промышленное	Фильтр фланц.прох. забортной воды Ду100 Ру4 чертеж 427-03-109-2 В наличии 3 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Фильтр фланц.прох. забортной воды Ду100 Ру4 — 3 шт	Склад 2	да
2	отдельное	Клинкет Ду 350 судовой	300 000	Оборудование для бизнеса / Промышленное	Клинкет Ду 350 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клинкет Ду 350 — 1 шт	Фойе	да
2	отдельное	Водонагреватель ВЭС-300 ОМ5 220 V (щит	285 000	Оборудование для бизнеса / Промышленное	Водонагреватель ВЭС-300 ОМ5 220 V (щит управ+провода+термометр) чертеж 1 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Водонагреватель ВЭС-300 ОМ5 220 V (щит управ+провода+термометр) — 1 шт	Склад 3	да
2	отдельное	Плита камбузная ПКЭ-50 (разобранная) мастерская	250 000	Оборудование для бизнеса / Промышленное	Плита камбузная ПКЭ-50 (разобранная) мастерская б/у В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Плита камбузная ПКЭ-50 (разобранная) мастерская б/у — 1 шт	Фойе	да
2	отдельное	Плита камбузная ПКЭ-50 +щит+ограничитель	250 000	Оборудование для бизнеса / Промышленное	Плита камбузная ПКЭ-50 +щит+ограничитель (мастерская) б/у В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Плита камбузная ПКЭ-50 +щит+ограничитель (мастерская) б/у — 1 шт	Фойе	да
2	отдельное	Плита камбузная ПКЭ-50 б/у судовой	250 000	Оборудование для бизнеса / Промышленное	Плита камбузная ПКЭ-50 б/у В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Плита камбузная ПКЭ-50 б/у — 1 шт	Фойе	да
2	отдельное	Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт,	200 000	Оборудование для бизнеса / Промышленное	Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м — 1 шт	Гараж 2	да
2	отдельное	Ротор ? судовой	200 000	Оборудование для бизнеса / Промышленное	Ротор ? В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Ротор ? — 1 шт	Гараж 2	да
2	отдельное	Барабан СЦ-3 б/у КОРПУС БАРАБАНА судовой	100 000	Оборудование для бизнеса / Промышленное	Барабан СЦ-3 б/у КОРПУС БАРАБАНА В наличии 2 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Барабан СЦ-3 б/у КОРПУС БАРАБАНА — 2 шт	Склад 2	да
2	отдельное	Насос ЭВН 5/5 судовой	184 668	Оборудование для бизнеса / Промышленное	Насос ЭВН 5/5 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос ЭВН 5/5 — 1 шт	Склад 3	да
