Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	Трубопроводная обвязка	Головки, грибки, компенсаторы	Компенсатор		Компенсатор Ду 150		3	3		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ разный ампераж (брак)	3	3	3		0	не указано	брак			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ВС-1	3	3	3		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		Датчик давления Мертик 665 1,0	3	3	3		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	НЦКГ 6/40;4/40	РТИ НЦКГ 4/40 ?????для ремонта насоса		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Вкладыш мотылевый 3РР		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Вкладыш рамовый номинал		3	3			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо поршнев. черн.		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Трубка топливная ВД		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ударник короткий		3	3			не указано	комплект			0
Склад электрики	Арматура	Краны	ЗИП	VD26/20	Кран индикаторный VD26/20		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Штанга VD26/20		3	3			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Пружина клапана VD26/20		3	3			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Шестерня импортная S2010-0810-0101		3	3			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	3D6	Насос забортной воды 3D6 черт. СБ 584-01-25К		3	3			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	4Ч 8,5/11	Крышка цилиндра 4Ч 8,5/11(в сборе)		3	3			не указано	комплект			0
