Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная Ду100		6	6	38000	228000	не указано	комплект			228000
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная Ду100		43	43	38000	1634000	не указано	комплект			1634000
Склад 3	Арматура	Кингстоны	Кингстон		Кингстон донный фланцевый Ду50 Ру2,5	без чертежа	1	1	17500	17500	не указано	комплект			17500
Склад 3	Арматура	Кингстоны	Кингстон		Кингстон донный фланцевый Ду50 Ру2,5	527-03.054	1	1	17500	17500	не указано	комплект			17500
Склад 3	Арматура	Кингстоны	Кингстон		Кингстон донный фланцевый Ду80 Ру2,5	527-03.055	2	2	32000	64000	не указано	комплект			64000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной ДУ20 Ру25	521-3М.324	8	8	10000	80000	не указано	комплект			80000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной ДУ25 ???	с камчатки	1	1	12000	12000	не указано	комплект			12000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной ДУ32 Ру25	УН522-3М38	2	2	14000	28000	не указано	комплект			28000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной ДУ32 Ру25	521-01.180	6	6	14000	84000	не указано	комплект			84000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной ДУ32 Ру25 (сталь)	521-01.068	1	1	9600	9600	не указано	комплект			9600
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду50		66	66	22500	1485000	не указано	комплект			1485000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду50 Ру25	521-01.128	5	5	22500	112500	не указано	комплект			112500
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду65		25	25	27000	675000	не указано	комплект			675000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду65 Ру10	521-03.488	1	1	27000	27000	не указано	комплект			27000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду70 Ру10	521-01.184	5	5	30000	150000	не указано	комплект			150000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду70 Ру10	522-01.226	2	2	30000	60000	не указано	комплект			60000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду80		6	6	36000	216000	не указано	комплект			216000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду100 Ру10		5	5	42000	210000	не указано	комплект			210000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду125		6	6	46000	276000	не указано	комплект			276000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду125 Ру10		3	3	46000	138000	не указано	комплект			138000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду150		2	2	80000	160000	не указано	комплект			160000
Склад 3	Арматура	Клапаны	Клапана фланцевые проходные		Клапан фланцевый проходной Ду200 Ру6	522-03.184	1	1	120000	120000	не указано	комплект			120000
Склад 3	Арматура	Клапаны	Клапан быстрозапор. фланц. проход. с тросиков. приводом		Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду40Ру6,3	521-03.020	7	7	26000	182000	не указано	комплект			182000
Склад 3	Арматура	Клапаны	Клапан быстрозапор. фланц. проход. с тросиков. приводом		Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду65Ру6,3	521-03.022	5	5	35000	175000	не указано	комплект			175000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду25	521-3М539	15	15	9600	144000	не указано	комплект			144000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду40 Ру10	522-03.202	1	1	16000	16000	не указано	комплект			16000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду40 Ру25	521-01.200	1	1	18000	18000	не указано	комплект			18000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду50 Ру25	СВ/Т3197-95В25050	7	7	22500	157500	не указано	комплект			157500
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду65 Ру10	522-35.4154-02	6	6	27000	162000	не указано	комплект			162000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду65 Ру10	522-35.4201	3	3	27000	81000	не указано	комплект			81000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду65 Ру10	521-03.195	12	12	27000	324000	не указано	комплект			324000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду80	522-03.197	7	7	34000	238000	не указано	комплект			238000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду150 Ру10		1	1	80000	80000	не указано	комплект			80000
Склад 3	Арматура	Клапаны	Клапан фланцевый угловой (бронза)		Клапан фланцевый угловой Ду150 Ру10	521-01.207	1	1	80000	80000	не указано	комплект			80000
Склад 3	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10		83	83	3500	290500	не указано	комплект			290500
Склад 3	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штущерный проходной Ду15		44	44	9500	418000	не указано	комплект			418000
Склад 3	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 20		100	100	7500	750000	не указано	комплект			750000
Склад 3	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 25 (Китай)		79	79	10000	790000	не указано	комплект	Китай		790000
Склад 3	Арматура	Клапаны	Клапан штуцерный угловой		Клапан штуцерный угловой Ду15		10	10	9000	90000	не указано	комплект			90000
Склад 3	Арматура	Клапаны	Клапан штуцерный угловой		Клапан штуцерный угловой Ду25		6	6	7500	45000	не указано	комплект			45000
Склад 3	Арматура	Клапаны	Клапан штуцерный угловой		Клапан штуцерный угловой Ду32		8	8	9600	76800	не указано	комплект			76800
Склад 3	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан электромагнитный б/у		4	4		0	б/у	комплект			0
Склад 3	Трубопроводная обвязка	Головки, грибки, компенсаторы	Колонка указательная с плоским рифленым стеклом		Колонка указательная с плоским рифленым стеклом Ду10Ру10	598-03.083-01	16	16	6000	96000	не указано	комплект			96000
Склад 3	Арматура	Клапаны	Клапан невозв-запорн.с присоед.под дюрит проходной		Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50	522-03.122-04	10	10		0	не указано	комплект			0
Склад 3	Арматура	Клапаны	Клапан запорн.с присоед.под дюрит проходной		Клапан запорн.с присоед.под дюрит прох. Ду65	ИШТЛ 491112-003-04	20	20		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая запорная Ду50 Ру6		1	1		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая запорная Ду50 Ру6	526-03.107	2	2		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая невозврат.Ду80 Ру6	526-03.097	6	6	80000	480000	не указано	комплект			480000
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая невозврат.Ду80 Ру6	526-03.097	2	2		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду80		3	3		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду80		2	2	44000	88000	новый	комплект			88000
Склад 3	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду80	526-03.163	2	2	60000	120000	новый	комплект			120000
Склад 3	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду80		15	15	44000	660000	новый	комплект			660000
Склад 3	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду50		4	4	35000	140000	новый	комплект			140000
