Бренд	Артикул WB	Наименование	Себестоимость	Коледино	Краснодар	Казань	Шушары	Екатеринбург	Итого
ETUDEHOUSE	307073881	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	310.46	70	60	30	20	20	200
ETUDEHOUSE	154160085	ETUDE - Baking Powder Crunch Pore Scrub [24*7ml] / Очищающий скраб для лица с содой	413.39	60	45	35	20	20	180
HEIMISH	207466866	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	816.71	75	60	25	20	20	200
I'MSORRYFORMYSKIN	206126372	I'm Sorry For My Skin - Age Capture Vitalizer Cream / Увлажняющий капсульный крем	607.6	75	35	20	30	20	180
JIGOTT	207482718	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	214.41	85	45	30	20	20	200
JIGOTT	207483179	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	197.01	85	40	30	25	20	200
JIGOTT	207483780	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	214.41	75	40	25	20	20	180
JIGOTT	212753217	JIGOTT - Collagen Healing Cream [100ml] / Крем для лица с коллагеном	185.95	55	30	25	20	20	150
JIGOTT	255574453	JIGOTT - Ассорти набор масок [27ml х 15]	354.09	55	35	20	20	20	150
JIGOTT	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	281.28	70	40	30	20	20	180
JIGOTT	212757456	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	281.28	75	40	25	20	20	180
JIGOTT	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	171.86	75	35	30	20	20	180
JIGOTT	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	176.41	70	40	30	20	20	180
JMSOLUTION	214977901	JMSOLUTION - MASK PACK BLACK [30ml*10ea] - ассорти набор 10шт в упаковке	490.99	75	35	25	25	20	180
LANEIGE	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	138.71	75	35	25	25	20	180
MANYO	198147185	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	953.77	85	45	25	25	20	200
MANYO	198156472	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	685.64	70	60	25	25	20	200
MANYO	198143251	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	779.46	45	40	25	20	20	150
MANYO	198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	904.18	80	55	20	25	20	200
MANYO	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	784.3	55	65	20	20	20	180
MANYO	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	1056.56	65	25	20	20	20	150
PETITFEE	179611231	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	408.15	65	25	20	20	20	150
PETITFEE	180988755	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	515.89	90	20	30	20	20	180
PETITFEE	179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	440.39	80	25	30	25	20	180
PETITFEE	180992464	PETITFEE - Aura Quartz Hydrogel Eye Patch [60ea]	626.77	65	25	20	20	20	150
PETITFEE	179611304	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	440.39	50	35	25	20	20	150
PETITFEE	179611318	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	440.39	85	30	25	20	20	180
